NRAS	NM_002524
ALK	NM_004304
ERBB4	NM_005235
PIK3CA	NM_006218
FGFR3	NM_001163213
PDGFRA	NM_006206
KIT	NM_000222
EGFR	NM_005228
MET	NM_001127500
BRAF	NM_004333
FGFR2	NM_000141
HRAS	NM_005343
KRAS	NM_033360
POLE	NM_006231
MAP2K1	NM_002755
ERBB2	NM_004448
STK11	NM_000455
RIT1	NM_006912
DNMT3A	NM_022552
SF3B1	NM_012433
IDH1	NM_005896
GATA2	NM_032638
TET2	NM_001127208
NPM1	NM_002520
DDX41	NM_016222
EZH2	NM_004456
RAD21	NM_006265
JAK2	NM_004972
ANKRD26	NM_014915
PTEN	NM_000314
SMC3	NM_005445
WT1	NM_024426
CBL	NM_005188
ETV6	NM_001987
ETNK1	NM_018638
PTPN11	NM_002834
FLT3	NM_004119
IDH2	NM_002168
TP53	NM_000546
PPM1D	NM_003620
SRSF2	NM_003016
ASXL1	NM_015338
RUNX1	NM_001754
U2AF1	NM_006758
ZRSR2	NM_005089
BCOR	NM_001123385
GATA1	NM_002049
SMC1A	NM_006306
STAG2	NM_001042749
BCORL1	NM_021946
PHF6	NM_001015877
SRY	NM_003140
TNFRSF14	NM_003820
ID3	NM_002167
ARID1A	NM_006015
CD58	NM_001779
NOTCH2	NM_024408
XPO1	NM_003400
CXCR4	NM_001008540
MYD88	NM_002468
IRF4	NM_002460
PIM1	NM_001243186
CCND3	NM_001760
PRDM1	NM_001198
TNFAIP3	NM_001270507
CARD11	NM_032415
MYC	NM_002467
CDKN2A	NM_058195
CDKN2B	NM_004936
NOTCH1	NM_017617
STAT6	NM_001178078
FOXO1	NM_002015
B2M	NM_004048
CREBBP	NM_004380
CIITA	NM_000246
SOCS1	NM_003745
PLCG2	NM_002661
CD79B	NM_000626
GNA13	NM_006572
BCL2	NM_000633
TCF3	NM_003200
MEF2B	NM_001145785
CD79A	NM_001783
EP300	NM_001429
BTK	NM_000061
CD28	NM_006139
CCR4	NM_005508
RHOA	NM_001664
KMT2C	NM_170606
ZEB1	NM_001174096
FAS	NM_000043
SETD1B	NM_015048
KDM6B	NM_001080424
STAT5B	NM_012448
STAT3	NM_139276
FASN	NM_004104
JAK3	NM_000215
PLCG1	NM_002660
CSF3R	NM_156039
MPL	NM_005373
SH2B3	NM_005475
ULK1	NM_003565
SETBP1	NM_015559
ABL1	NM_005157
CALR	NM_004343
CEBPA	NM_004364
AXL	NM_021913
JAK1	NM_002227
ASXL2	NM_018263
BCL11A	NM_022893
STAG1	NM_005862
TERC	NR_001566
SRP72	NM_006947
FBXW7	NM_033632
TERT	NM_198253
MAD1L1	NM_001013837
IKZF1	NM_006060
CUX1	NM_181552
PAX5	NM_016734
EED	NM_003797
ATM	NM_000051
KMT2A	NM_001197104
KMT2D	NM_003482
NFE2	NM_001136023
HMGA2	NM_003483
PDS5B	NM_015032
CTCF	NM_006565
ACD	NM_001082486
NF1	NM_001042492
SUZ12	NM_015355
DOT1L	NM_032482
KMT2B	NM_014727
U2AF2	NM_007279
GNAS	NM_080425
CHEK2	NM_001005735
KDM6A	NM_021140
ATRX	NM_000489
ZBTB33	NM_006777
