chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.125252173957123	2	-0.125252173957123	2	0.286182981349305	2	0.286182981349305	NA	NA	SegRatio=-0.13,AbsMeanSigma=1.55,pvalue=0.00713088633249114,pvalueTTest=0.286182981349305,
chr1	115256462	115256578	NRAS	AMPL7153071870	0.0547162083759891	2	-0.125252173957123	2	0.286182981349305	2	0.286182981349305	NA	NA	SegRatio=-0.13,AbsMeanSigma=1.55,pvalue=0.00713088633249114,pvalueTTest=0.286182981349305,
chr1	115258698	115258821	NRAS	AMPL7153669586	-0.274955225574523	2	-0.125252173957123	2	0.286182981349305	2	0.286182981349305	NA	NA	SegRatio=-0.13,AbsMeanSigma=1.55,pvalue=0.00713088633249114,pvalueTTest=0.286182981349305,
chr2	29432581	29432710	ALK	AMPL7153129486	-0.0551411413188205	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	29432651	29432782	ALK	AMPL7158540212	-0.194306190504787	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.0611170822236853	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	29436860	29436982	ALK	AMPL7153049880	-0.039171687149379	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	29443563	29443694	ALK	AMPL7153154662	-0.0864281588198408	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.295553428813216	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	29445095	29445222	ALK	AMPL7156051274	-0.00608386211077983	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	29445209	29445319	ALK	AMPL7153153034	-0.0499896643708981	2	-0.0551411413188205	2	0.0628610748316567	2	0.0628610748316567	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	212566741	212566867	ERBB4	AMPL7158742374	0.0298306693467637	2	-0.0551411413188205	2	0.727725519411954	2	0.727725519411954	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.0551411413188205	2	0.727725519411954	2	0.727725519411954	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.83,pvalue=0.00869952397162718,pvalueTTest=0.081717075995124,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	0.0962938883872782	2	0.0962938883872782	2	0.423438010511489	2	0.423438010511489	NA	NA	SegRatio=0.1,AbsMeanSigma=0.46,pvalue=0.427242766756349,pvalueTTest=0.423438010511489,
chr3	178951936	178952058	PIK3CA	AMPL7153120664	0.0627104970588245	2	0.0962938883872782	2	0.423438010511489	2	0.423438010511489	NA	NA	SegRatio=0.1,AbsMeanSigma=0.46,pvalue=0.427242766756349,pvalueTTest=0.423438010511489,
chr3	178952058	178952160	PIK3CA	AMPL7153011260	-0.0348788532076361	2	0.0962938883872782	2	0.423438010511489	2	0.423438010511489	NA	NA	SegRatio=0.1,AbsMeanSigma=0.46,pvalue=0.427242766756349,pvalueTTest=0.423438010511489,
chr4	1803553	1803683	FGFR3	AMPL7153129889	-0.0542479561697759	2	0.0153943428188474	2	0.876472717450746	2	0.876472717450746	NA	NA	SegRatio=0.02,AbsMeanSigma=0.04,pvalue=0.847307201441645,pvalueTTest=0.835056579916019,
chr4	1806068	1806205	FGFR3	AMPL7153021994	NA	2	0.0153943428188474	2	0.876472717450746	2	0.876472717450746	NA	NA	SegRatio=0.02,AbsMeanSigma=0.04,pvalue=0.847307201441645,pvalueTTest=0.835056579916019,
chr4	1807830	1807934	FGFR3	AMPL7153021957	0.151223806673669	2	0.0153943428188474	2	0.876472717450746	2	0.876472717450746	NA	NA	SegRatio=0.02,AbsMeanSigma=0.04,pvalue=0.847307201441645,pvalueTTest=0.835056579916019,
chr4	55141001	55141132	PDGFRA	AMPL7154338435	0.234329497219535	2	0.0153943428188474	2	0.227512868426638	2	0.227512868426638	NA	NA	SegRatio=0.02,AbsMeanSigma=0.04,pvalue=0.847307201441645,pvalueTTest=0.835056579916019,
chr4	55141127	55141247	PDGFRA	AMPL7158562435	0.0995217285601522	2	0.0153943428188474	2	0.227512868426638	2	0.227512868426638	NA	NA	SegRatio=0.02,AbsMeanSigma=0.04,pvalue=0.847307201441645,pvalueTTest=0.835056579916019,
