gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.0899734719114482	0.719787775291586	p-value_correction=0.0899734719114482
ALK	chr2	29432581	29445319	2	0.2590189236632	1	p-value_correction=0.0654673983568739
ERBB4	chr2	212566741	212570115	2	0.2590189236632	1	p-value_correction=0.00230186964971832
PIK3CA	chr3	178936019	178952160	2	0.278415603090709	1	p-value_correction=0.278415603090709
FGFR3	chr4	1803553	1807934	1.5	5.60846433573718e-08	5.60846433573718e-07	p-value_correction=0.399332078213295
PDGFRA	chr4	55141001	55152200	1.5	5.60846433573718e-08	5.60846433573718e-07	p-value_correction=0.000461433699143408
KIT	chr4	55589743	55602784	1.5	5.60846433573718e-08	5.60846433573718e-07	p-value_correction=9.78465821780929e-05
EGFR	chr7	55241600	55259578	2	0.928014008995293	1	p-value_correction=0.27879782223344
MET	chr7	116339602	116435917	2	0.928014008995293	1	p-value_correction=0.200301859664881
BRAF	chr7	140453100	140481512	2	0.928014008995293	1	p-value_correction=0.642993248500613
FGFR2	chr10	123247455	123279768	2	0.167087707305662	1	p-value_correction=0.167087707305662
HRAS	chr11	533380	534348	2	0.898599790610152	1	p-value_correction=0.889761704077725
KRAS	chr12	25378549	25398304	2	0.483297417468908	1	p-value_correction=0.483297417468908
MAP2K1	chr15	66727413	66729224	2	0.0308143396234196	0.277329056610776	p-value_correction=0.0308143396234196
ERBB2	chr17	37880970	37881180	2	0.745367082161543	1	p-value_correction=0.745367082161543
