gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.22084242140796	1	p-value_correction=0.22084242140796
ALK	chr2	29432581	29445319	2	0.0282475885234821	0.254228296711339	p-value_correction=0.00356037020261525
ERBB4	chr2	212566741	212570115	2	0.0282475885234821	0.254228296711339	p-value_correction=0.656101499561112
PIK3CA	chr3	178936019	178952160	2	0.00665648492809072	0.0665648492809072	p-value_correction=0.00354671869285972
FGFR3	chr4	1803553	1807934	2.5	6.47654537236147e-07	7.12419990959762e-06	p-value_correction=0.0696961699335213
PDGFRA	chr4	55141001	55152200	2.5	6.47654537236147e-07	7.12419990959762e-06	possible.CN=3, p-value_correction=0.368998395239345
KIT	chr4	55589743	55602784	2.5	6.47654537236147e-07	7.12419990959762e-06	p-value_correction=0.450418117234703
EGFR	chr7	55241600	55259578	2	0.697445907865978	1	p-value_correction=0.158431111265
MET	chr7	116339602	116435917	2	0.510371387171467	1	p-value_correction=0.0600897418115238
BRAF	chr7	140453100	140481512	2	0.510371387171467	1	p-value_correction=0.383700820290772
FGFR2	chr10	123247455	123279768	2	0.0691552872359364	0.484087010651555	p-value_correction=0.0691552872359364
HRAS	chr11	533380	534348	2	0.0527598796600768	0.422079037280614	p-value_correction=0.0232793015202326
KRAS	chr12	25378549	25398304	2	0.307914329655081	1	p-value_correction=0.307914329655081
MAP2K1	chr15	66727413	66729224	2	0.863935899872186	1	p-value_correction=0.821702007128318
ERBB2	chr17	37880970	37881180	2	0.926899413257927	1	p-value_correction=0.926899413257927
