chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.0826692691609826	2	0.0341961163840444	2	0.935521963038661	2	0.935521963038661	NA	NA	SegRatio=0.03,AbsMeanSigma=0.02,pvalue=0.966418498383218,pvalueTTest=0.935521963038661,
chr1	115256462	115256578	NRAS	AMPL7153071870	0.0341961163840444	2	0.0341961163840444	2	0.935521963038661	2	0.935521963038661	NA	NA	SegRatio=0.03,AbsMeanSigma=0.02,pvalue=0.966418498383218,pvalueTTest=0.935521963038661,
chr1	115258698	115258821	NRAS	AMPL7153669586	0.0776897790066919	2	0.0341961163840444	2	0.935521963038661	2	0.935521963038661	NA	NA	SegRatio=0.03,AbsMeanSigma=0.02,pvalue=0.966418498383218,pvalueTTest=0.935521963038661,
chr2	29432581	29432710	ALK	AMPL7153129486	0.0200745202843502	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	29432651	29432782	ALK	AMPL7158540212	0.221559341176596	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.204441644276926	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	29436860	29436982	ALK	AMPL7153049880	-0.166511018434325	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	29443563	29443694	ALK	AMPL7153154662	-0.02315844663288	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.0670291264550036	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	29445095	29445222	ALK	AMPL7156051274	-0.038800649005755	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	29445209	29445319	ALK	AMPL7153153034	0.308455864568549	2	-0.038800649005755	2	0.732637699914847	2	0.732637699914847	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	212566741	212566867	ERBB4	AMPL7158742374	0.481031549208233	2	-0.038800649005755	2	0.0023558344755705	2.5	0.00907675042153406	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.038800649005755	2	0.0023558344755705	2.5	0.00907675042153406	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.21,pvalue=0.513008340998047,pvalueTTest=0.600355098628501,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	0.307243417932764	2	0.307243417932764	2	0.520450481364789	2	0.520450481364789	NA	NA	SegRatio=0.31,AbsMeanSigma=0.62,pvalue=0.28262849615617,pvalueTTest=0.520450481364789,
chr3	178951936	178952058	PIK3CA	AMPL7153120664	0.278143493710418	2	0.307243417932764	2	0.520450481364789	2	0.520450481364789	NA	NA	SegRatio=0.31,AbsMeanSigma=0.62,pvalue=0.28262849615617,pvalueTTest=0.520450481364789,
chr3	178952058	178952160	PIK3CA	AMPL7153011260	-0.211813960218433	2	0.307243417932764	2	0.520450481364789	2	0.520450481364789	NA	NA	SegRatio=0.31,AbsMeanSigma=0.62,pvalue=0.28262849615617,pvalueTTest=0.520450481364789,
chr4	1803553	1803683	FGFR3	AMPL7153129889	0.504633487083204	2	-0.019357192954541	2	0.423062268692926	2	0.423062268692926	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	1806068	1806205	FGFR3	AMPL7153021994	NA	2	-0.019357192954541	2	0.423062268692926	2	0.423062268692926	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	1807830	1807934	FGFR3	AMPL7153021957	0.114725278744269	2	-0.019357192954541	2	0.423062268692926	2	0.423062268692926	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55141001	55141132	PDGFRA	AMPL7154338435	-0.115750561245515	2	-0.019357192954541	2	0.685749651190124	2	0.685749651190124	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55141127	55141247	PDGFRA	AMPL7158562435	0.157153107251959	2	-0.019357192954541	2	0.685749651190124	2	0.685749651190124	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55144027	55144139	PDGFRA	AMPL7158536940	-0.296549016791506	2	-0.019357192954541	2	0.685749651190124	2	0.685749651190124	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55144087	55144214	PDGFRA	AMPL7158630701	-0.0029632950379742	2	-0.019357192954541	2	0.685749651190124	2	0.685749651190124	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55151983	55152113	PDGFRA	AMPL7153402697	-0.435562804320676	2	-0.019357192954541	2	0.685749651190124	2	0.685749651190124	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55152079	55152200	PDGFRA	AMPL7158562436	0.397050330517144	2	-0.019357192954541	2	0.685749651190124	2	0.685749651190124	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55589743	55589879	KIT	AMPL7153048367.AMPL7161178196	NA	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55592006	55592112	KIT	AMPL7158630707	-0.0213491894017779	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55592041	55592155	KIT	AMPL7158630703	-0.019357192954541	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55592150	55592251	KIT	AMPL7158630708	-0.31669078871276	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55593498	55593600	KIT	AMPL7153001777	0.376619473957172	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55593600	55593725	KIT	AMPL7153001778	-0.197419908277584	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55594135	55594243	KIT	AMPL7153547213	-0.0321917329039603	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55594243	55594350	KIT	AMPL7153171489	-0.161538910913783	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55599230	55599356	KIT	AMPL7158630710	-0.00819992651362166	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55599340	55599456	KIT	AMPL7155741653	-0.558535288320316	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55602600	55602724	KIT	AMPL7158562441	0.0880019123365312	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr4	55602664	55602784	KIT	AMPL7158562437	-0.304138139173823	2	-0.019357192954541	2	0.357808070424353	2	0.357808070424353	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.14,pvalue=0.516109464888879,pvalueTTest=0.611634767631157,
chr7	55241600	55241688	EGFR	AMPL7154370557	0.173457157162795	2	0.2557954572203	2.5	0.24974533510638	3	0.00972714287112991	NA	NA	SegRatio=0.03,AbsMeanSigma=0.35,pvalue=0.546985625092133,pvalueTTest=0.24974533510638,
chr7	55241677	55241801	EGFR	AMPL7153032956	0.035230718653274	2	0.2557954572203	2.5	0.24974533510638	3	0.00972714287112991	NA	NA	SegRatio=0.03,AbsMeanSigma=0.35,pvalue=0.546985625092133,pvalueTTest=0.24974533510638,
chr7	55242411	55242540	EGFR	CHP2_EGFR_5	0.0256523324571135	2	0.2557954572203	2.5	0.24974533510638	3	0.00972714287112991	NA	NA	SegRatio=0.03,AbsMeanSigma=0.35,pvalue=0.546985625092133,pvalueTTest=0.24974533510638,
chr7	55248956	55249084	EGFR	AMPL7153072051	0.183561159650026	3	0.2557954572203	2.5	0.00889940052358553	3	0.00972714287112991	NA	NA	SegRatio=0.45,AbsMeanSigma=1.75,pvalue=3.80703129470646e-21,pvalueTTest=3.35403624548369e-07,
chr7	55249004	55249139	EGFR	AMPL7153033044	0.41861985958818	3	0.2557954572203	2.5	0.00889940052358553	3	0.00972714287112991	NA	NA	SegRatio=0.45,AbsMeanSigma=1.75,pvalue=3.80703129470646e-21,pvalueTTest=3.35403624548369e-07,
chr7	55249118	55249244	EGFR	AMPL7158526937	0.384480033648618	3	0.2557954572203	2.5	0.00889940052358553	3	0.00972714287112991	NA	NA	SegRatio=0.45,AbsMeanSigma=1.75,pvalue=3.80703129470646e-21,pvalueTTest=3.35403624548369e-07,
chr7	55259364	55259492	EGFR	AMPL7154370552	0.465242484348084	3	0.2557954572203	2.5	0.00889940052358553	3	0.00972714287112991	NA	NA	SegRatio=0.45,AbsMeanSigma=1.75,pvalue=3.80703129470646e-21,pvalueTTest=3.35403624548369e-07,
chr7	55259481	55259578	EGFR	AMPL7154370553	0.360119912254306	3	0.2557954572203	2.5	0.00889940052358553	3	0.00972714287112991	NA	NA	SegRatio=0.45,AbsMeanSigma=1.75,pvalue=3.80703129470646e-21,pvalueTTest=3.35403624548369e-07,
