gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.612043496194961	1	p-value_correction=0.612043496194961
ALK	chr2	29432581	29445319	2	0.282909758924712	1	p-value_correction=0.468084599909791
ERBB4	chr2	212566741	212570115	2	0.282909758924712	1	p-value_correction=0.0404492886385115
PIK3CA	chr3	178936019	178952160	2	0.532694104508284	1	p-value_correction=0.430741625093755
FGFR3	chr4	1803553	1807934	2	0.0535588773568723	0.434456072232011	p-value_correction=0.221079045430472
PDGFRA	chr4	55141001	55152200	2	0.0535588773568723	0.434456072232011	p-value_correction=0.338718419526902
KIT	chr4	55589743	55602784	2	0.0535588773568723	0.434456072232011	p-value_correction=0.102384404004398
EGFR	chr7	55241600	55259578	2	0.0380903834871636	0.380903834871636	p-value_correction=0.113515321033688
MET	chr7	116339602	116435917	2	0.0380903834871636	0.380903834871636	p-value_correction=0.271975703091505
BRAF	chr7	140453100	140481512	2	0.0380903834871636	0.380903834871636	p-value_correction=0.314786270569557
FGFR2	chr10	123247455	123279768	2	0.11118311508199	0.77828180557393	p-value_correction=0.11118311508199
HRAS	chr11	533380	534348	2	0.0482728969146679	0.434456072232011	p-value_correction=0.0482728969146679
KRAS	chr12	25378549	25398304	2	0.283166889594169	1	p-value_correction=0.283166889594169
MAP2K1	chr15	66727413	66729224	2	0.219752744955556	1	p-value_correction=0.219752744955556
ERBB2	chr17	37880970	37881180	2	0.418347086403207	1	p-value_correction=0.418347086403207
