gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.80845100898687	1	p-value_correction=0.80845100898687
ALK	chr2	29432581	29445319	2	0.222050983774207	1	p-value_correction=0.353926840113451
ERBB4	chr2	212566741	212570115	2	0.222050983774207	1	p-value_correction=0.20102975942667
PIK3CA	chr3	178936019	178952160	2	0.625117189718945	1	p-value_correction=0.625117189718945
FGFR3	chr4	1803553	1807934	2	0.266430937507949	1	p-value_correction=0.454442304246478
PDGFRA	chr4	55141001	55152200	2	0.266430937507949	1	p-value_correction=0.573427258997003
KIT	chr4	55589743	55602784	2	0.266430937507949	1	p-value_correction=0.550347452791869
EGFR	chr7	55241600	55259578	2	0.00639385633780633	0.0639385633780633	p-value_correction=0.96977906539251
MET	chr7	116339602	116435917	2	0.00639385633780633	0.0639385633780633	p-value_correction=0.000799632792355238
BRAF	chr7	140453100	140481512	2	0.00639385633780633	0.0639385633780633	p-value_correction=0.269774089743456
FGFR2	chr10	123247455	123279768	2	0.259907272123703	1	p-value_correction=0.259907272123703
HRAS	chr11	533380	534348	2	0.91315328192739	1	p-value_correction=0.913153281927391
KRAS	chr12	25378549	25398304	2	0.0697933257735421	0.628139931961879	p-value_correction=0.0697933257735421
MAP2K1	chr15	66727413	66729224	2	0.34012263140649	1	p-value_correction=0.306640683086953
ERBB2	chr17	37880970	37881180	2	0.134892019883221	1	p-value_correction=0.134892019883221
