gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.184119813143378	0.92059906571689	p-value_correction=0.184119813143378
ALK	chr2	29432581	29445319	2	0.426793781369231	1	p-value_correction=0.50158312396923
ERBB4	chr2	212566741	212570115	2	0.426793781369231	1	p-value_correction=0.511122429304232
PIK3CA	chr3	178936019	178952160	2	0.0862333223741235	0.776099901367111	p-value_correction=0.0862333223741235
FGFR3	chr4	1803553	1807934	2	0.521648950696885	1	p-value_correction=0.525418949700852
PDGFRA	chr4	55141001	55152200	2	0.521648950696885	1	p-value_correction=0.745490259501778
KIT	chr4	55589743	55602784	2	0.521648950696885	1	p-value_correction=0.224936063055857
EGFR	chr7	55241600	55259578	2	0.386835514541851	1	p-value_correction=0.530163331367871
MET	chr7	116339602	116435917	2	0.386835514541851	1	p-value_correction=0.264218448486251
BRAF	chr7	140453100	140481512	2	0.386835514541851	1	p-value_correction=0.186148684116896
FGFR2	chr10	123247455	123279768	2	0.0929896673889604	0.776099901367111	p-value_correction=0.0929896673889603
HRAS	chr11	533380	534348	1.5	0.00288342472808458	0.0288342472808458	p-value_correction=0.426910143678975
KRAS	chr12	25378549	25398304	2	0.884179197569942	1	p-value_correction=0.875086535876584
MAP2K1	chr15	66727413	66729224	2	0.11284027614334	0.776099901367111	p-value_correction=0.11284027614334
ERBB2	chr17	37880970	37881180	2	0.1097713173335	0.776099901367111	p-value_correction=0.1097713173335
