gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.471056639081977	1	p-value_correction=0.471056639081977
ALK	chr2	29432581	29445319	2	0.536041856929699	1	p-value_correction=0.368151785856624
ERBB4	chr2	212566741	212570115	2	0.536041856929699	1	p-value_correction=0.784491938537818
PIK3CA	chr3	178936019	178952160	2	0.422536376863145	1	p-value_correction=0.422536376863145
FGFR3	chr4	1803553	1807934	2	0.408657065244355	1	p-value_correction=0.3034759958773
PDGFRA	chr4	55141001	55152200	2	0.408657065244355	1	p-value_correction=0.00333448187031762
KIT	chr4	55589743	55602784	2	0.408657065244355	1	p-value_correction=0.290198565928026
EGFR	chr7	55241600	55259578	2	0.949725801449935	1	p-value_correction=0.122288108456099
MET	chr7	116339602	116435917	2	0.949725801449935	1	p-value_correction=0.360011550290637
BRAF	chr7	140453100	140481512	2	0.949725801449935	1	p-value_correction=0.4227587926544
FGFR2	chr10	123247455	123279768	2	0.915280969158653	1	p-value_correction=0.915280969158653
HRAS	chr11	533380	534348	2	0.775765846845613	1	p-value_correction=0.603534136649226
KRAS	chr12	25378549	25398304	2	0.483320630252307	1	p-value_correction=0.483320630252307
MAP2K1	chr15	66727413	66729224	2	0.475477691814653	1	p-value_correction=0.301584595765896
ERBB2	chr17	37880970	37881180	2	0.921428679591802	1	p-value_correction=0.921428679591802
