gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.23261140502128	1	p-value_correction=0.23261140502128
ALK	chr2	29432581	29445319	2	0.257284440724339	1	p-value_correction=0.319752419808725
ERBB4	chr2	212566741	212570115	2	0.257284440724339	1	p-value_correction=0.21718679393571
PIK3CA	chr3	178936019	178952160	2	0.301420041085621	1	p-value_correction=0.113240181851341
FGFR3	chr4	1803553	1807934	2	0.772121672292754	1	p-value_correction=0.362617326010875
PDGFRA	chr4	55141001	55152200	2	0.772121672292754	1	p-value_correction=0.159699462184266
KIT	chr4	55589743	55602784	2	0.772121672292754	1	p-value_correction=0.0109382172562168
EGFR	chr7	55241600	55259578	2	0.878436363426156	1	p-value_correction=0.878436363426156
MET	chr7	116339602	116435917	5	6.41147320923535e-08	7.69376785108242e-07	possible.CN=1.5, p-value_correction=0.44408714342059
BRAF	chr7	140453100	140481512	2	0.225541947016296	1	p-value_correction=0.225541947016296
FGFR2	chr10	123247455	123279768	2	0.20428898908023	1	p-value_correction=0.740733698291467
HRAS	chr11	533380	534348	2	0.159808946073839	1	p-value_correction=0.159808946073839
KRAS	chr12	25378549	25398304	2	0.157516441006972	1	p-value_correction=0.157516441006972
MAP2K1	chr15	66727413	66729224	2	0.275217192869863	1	p-value_correction=0.275217192869863
ERBB2	chr17	37880970	37881180	2	0.162300833851061	1	p-value_correction=0.162300833851061
