gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.503990085051957	1	p-value_correction=0.503990085051957
ALK	chr2	29432581	29445319	2	0.0687200001860485	0.549760001488388	p-value_correction=0.444281703294062
ERBB4	chr2	212566741	212570115	2	0.0687200001860485	0.549760001488388	p-value_correction=0.0126749944874113
PIK3CA	chr3	178936019	178952160	2	0.309111293099432	1	p-value_correction=0.309111293099432
FGFR3	chr4	1803553	1807934	2	0.913071464829572	1	p-value_correction=0.0873607452010366
PDGFRA	chr4	55141001	55152200	2	0.913071464829572	1	p-value_correction=0.315098540511577
KIT	chr4	55589743	55602784	2	0.913071464829572	1	p-value_correction=0.188489433002003
EGFR	chr7	55241600	55259578	5.5	0.000108384179309506	0.00108384179309506	p-value_correction=0.46153629612287
MET	chr7	116339602	116435917	2.5	2.99443565805917e-07	3.29387922386509e-06	p-value_correction=0.482035565422267
BRAF	chr7	140453100	140481512	2.5	2.99443565805917e-07	3.29387922386509e-06	p-value_correction=0.346349233276463
FGFR2	chr10	123247455	123279768	2	0.0419465344883973	0.377518810395576	p-value_correction=0.0419465344883973
HRAS	chr11	533380	534348	2	0.49525617895863	1	p-value_correction=0.37600454863396
KRAS	chr12	25378549	25398304	2	0.146285134316216	0.848524327292802	p-value_correction=0.146285134316216
MAP2K1	chr15	66727413	66729224	2	0.141420721215467	0.848524327292802	p-value_correction=0.141420721215467
ERBB2	chr17	37880970	37881180	2	0.0890781155512249	0.623546808858574	p-value_correction=0.0890781155512249
