chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.502579035130482	2	-0.374892063971581	2	0.184119813143378	2	0.184119813143378	NA	NA	SegRatio=-0.37,AbsMeanSigma=2.86,pvalue=7.36523683609074e-07,pvalueTTest=0.184119813143378,Adjusted:byPvalueTTestRatio;
chr1	115256462	115256578	NRAS	AMPL7153071870	-0.0149639164218863	2	-0.374892063971581	2	0.184119813143378	2	0.184119813143378	NA	NA	SegRatio=-0.37,AbsMeanSigma=2.86,pvalue=7.36523683609074e-07,pvalueTTest=0.184119813143378,Adjusted:byPvalueTTestRatio;
chr1	115258698	115258821	NRAS	AMPL7153669586	-0.374892063971581	2	-0.374892063971581	2	0.184119813143378	2	0.184119813143378	NA	NA	SegRatio=-0.37,AbsMeanSigma=2.86,pvalue=7.36523683609074e-07,pvalueTTest=0.184119813143378,Adjusted:byPvalueTTestRatio;
chr2	29432581	29432710	ALK	AMPL7153129486	0.116144308408182	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	29432651	29432782	ALK	AMPL7158540212	-0.0594476380301979	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.00618636407196014	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	29436860	29436982	ALK	AMPL7153049880	0.123784052753894	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	29443563	29443694	ALK	AMPL7153154662	0.000300013145591083	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.466033223719979	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	q-value=7.47382982704866e-05, copies=1.5	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	29445095	29445222	ALK	AMPL7156051274	0.0301932548404817	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	29445209	29445319	ALK	AMPL7153153034	-0.0739644381530245	2	-0.00618636407196014	2	0.50158312396923	2	0.50158312396923	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	212566741	212566867	ERBB4	AMPL7158742374	-0.071140427996784	2	-0.00618636407196014	2	0.511122429304232	2	0.511122429304232	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.00618636407196014	2	0.511122429304232	2	0.511122429304232	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.117775989873425,pvalueTTest=0.426793781369231,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	-0.135852554253657	2	-0.135852554253657	2	0.0862333223741235	2	0.0862333223741235	NA	NA	SegRatio=-0.14,AbsMeanSigma=1.05,pvalue=0.0679539020980064,pvalueTTest=0.0862333223741235,Adjusted:byPvalueMeanRatio;
chr3	178951936	178952058	PIK3CA	AMPL7153120664	-0.0790336669318746	2	-0.135852554253657	2	0.0862333223741235	2	0.0862333223741235	NA	NA	SegRatio=-0.14,AbsMeanSigma=1.05,pvalue=0.0679539020980064,pvalueTTest=0.0862333223741235,Adjusted:byPvalueMeanRatio;
chr3	178952058	178952160	PIK3CA	AMPL7153011260	-0.193791657215222	2	-0.135852554253657	2	0.0862333223741235	2	0.0862333223741235	NA	NA	SegRatio=-0.14,AbsMeanSigma=1.05,pvalue=0.0679539020980064,pvalueTTest=0.0862333223741235,Adjusted:byPvalueMeanRatio;
chr4	1803553	1803683	FGFR3	AMPL7153129889	0.00343153882380823	2	-0.0480150104976749	2	0.525418949700852	2	0.525418949700852	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.14,pvalue=0.521648950696885,pvalueTTest=0.390880961693101,
chr4	1806068	1806205	FGFR3	AMPL7153021994	NA	2	-0.0480150104976749	2	0.525418949700852	2	0.525418949700852	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.14,pvalue=0.521648950696885,pvalueTTest=0.390880961693101,
chr4	1807830	1807934	FGFR3	AMPL7153021957	-0.16079878220729	2	-0.0480150104976749	2	0.525418949700852	2	0.525418949700852	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.14,pvalue=0.521648950696885,pvalueTTest=0.390880961693101,
chr4	55141001	55141132	PDGFRA	AMPL7154338435	0.0749332888546081	2	-0.0480150104976749	2	0.745490259501778	2	0.745490259501778	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.14,pvalue=0.521648950696885,pvalueTTest=0.390880961693101,
chr4	55141127	55141247	PDGFRA	AMPL7158562435	0.138586883781633	2	-0.0480150104976749	2	0.745490259501778	2	0.745490259501778	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.14,pvalue=0.521648950696885,pvalueTTest=0.390880961693101,
chr4	55144027	55144139	PDGFRA	AMPL7158536940	-0.135769050950573	2	-0.0480150104976749	2	0.745490259501778	2	0.745490259501778	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.14,pvalue=0.521648950696885,pvalueTTest=0.390880961693101,
chr4	55144087	55144214	PDGFRA	AMPL7158630701	0.00443113590974934	2	-0.0480150104976749	2	0.745490259501778	2	0.745490259501778	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.14,pvalue=0.521648950696885,pvalueTTest=0.390880961693101,
