gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.318965890902783	1	p-value_correction=0.318965890902783
ALK	chr2	29432581	29445319	5.5	0.000270695788654448	0.00270695788654448	p-value_correction=0.426458922818522
ERBB4	chr2	212566741	212570115	2	0.0391663814951574	0.313331051961259	p-value_correction=0.144740936253346
PIK3CA	chr3	178936019	178952160	2	0.0245609086039441	0.221048177435497	p-value_correction=0.0245609086039441
FGFR3	chr4	1803553	1807934	3.5	2.27618749743852e-06	2.50380624718237e-05	p-value_correction=0.00373622579266322
PDGFRA	chr4	55141001	55152200	3.5	2.27618749743852e-06	2.50380624718237e-05	possible.CN=1.5, p-value_correction=0.360232074860237
KIT	chr4	55589743	55602784	3.5	2.27618749743852e-06	2.50380624718237e-05	p-value_correction=0.248383561495979
EGFR	chr7	55241600	55259578	2	0.292020320031413	1	p-value_correction=0.0988542659994873
MET	chr7	116339602	116435917	2	0.292020320031413	1	p-value_correction=0.744457711285083
BRAF	chr7	140453100	140481512	2	0.292020320031413	1	p-value_correction=0.348095766184327
FGFR2	chr10	123247455	123279768	2	0.332604170780582	1	p-value_correction=0.332604170780582
HRAS	chr11	533380	534348	2	0.794090131385084	1	p-value_correction=0.77580699666882
KRAS	chr12	25378549	25398304	2	0.148451912040695	1	p-value_correction=0.148451912040695
MAP2K1	chr15	66727413	66729224	2	0.63178054131782	1	p-value_correction=0.527061202418768
ERBB2	chr17	37880970	37881180	2	0.530422287789078	1	p-value_correction=0.530422287789078
