gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.313051823916666	1	p-value_correction=0.243818512526045
ALK	chr2	29432581	29445319	2	0.00522378395825051	0.0470140556242546	p-value_correction=0.0105501952596995
ERBB4	chr2	212566741	212570115	2	0.00522378395825051	0.0470140556242546	p-value_correction=0.449804154300035
PIK3CA	chr3	178936019	178952160	2	0.284240773767544	1	p-value_correction=0.284240773767544
FGFR3	chr4	1803553	1807934	2	0.00368191409946133	0.0368191409946133	p-value_correction=0.398002535839323
PDGFRA	chr4	55141001	55152200	2	0.00368191409946133	0.0368191409946133	p-value_correction=0.00477603965501204
KIT	chr4	55589743	55602784	2	0.00368191409946133	0.0368191409946133	p-value_correction=0.236872843919337
EGFR	chr7	55241600	55259578	2	0.729838544198939	1	p-value_correction=0.586613897589946
MET	chr7	116339602	116435917	2	0.729838544198939	1	p-value_correction=0.516120074412307
BRAF	chr7	140453100	140481512	2	0.729838544198939	1	p-value_correction=0.21978593028313
FGFR2	chr10	123247455	123279768	2	0.281374635246204	1	p-value_correction=0.281374635246204
HRAS	chr11	533380	534348	2	0.469465684513817	1	p-value_correction=0.469465684513817
KRAS	chr12	25378549	25398304	2	0.141763136325277	1	p-value_correction=0.141763136325277
MAP2K1	chr15	66727413	66729224	2	0.701605210669784	1	p-value_correction=0.701605210669784
ERBB2	chr17	37880970	37881180	2	0.981794133883675	1	p-value_correction=0.863750417089797
