chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.061570167790543	2	-0.0250384969628287	2	0.91270985640377	2	0.91270985640377	NA	NA	SegRatio=-0.03,AbsMeanSigma=0.08,pvalue=0.892432133005258,pvalueTTest=0.91270985640377,
chr1	115256462	115256578	NRAS	AMPL7153071870	0.164250605156473	2	-0.0250384969628287	2	0.91270985640377	2	0.91270985640377	NA	NA	SegRatio=-0.03,AbsMeanSigma=0.08,pvalue=0.892432133005258,pvalueTTest=0.91270985640377,
chr1	115258698	115258821	NRAS	AMPL7153669586	-0.0250384969628287	2	-0.0250384969628287	2	0.91270985640377	2	0.91270985640377	NA	NA	SegRatio=-0.03,AbsMeanSigma=0.08,pvalue=0.892432133005258,pvalueTTest=0.91270985640377,
chr2	29432581	29432710	ALK	AMPL7153129486	0.0770930330928033	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	29432651	29432782	ALK	AMPL7158540212	-0.0278336241048946	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.0473973188547471	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	29436860	29436982	ALK	AMPL7153049880	0.0906648259972502	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	29443563	29443694	ALK	AMPL7153154662	0.110577205462695	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.218013940915771	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	29445095	29445222	ALK	AMPL7156051274	-0.156679874312991	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	29445209	29445319	ALK	AMPL7153153034	-0.0203209419306006	2	0.0770930330928033	2	0.671454887764837	2	0.671454887764837	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	212566741	212566867	ERBB4	AMPL7158742374	0.106578714599831	2	0.0770930330928033	2	0.105652871704561	2	0.105652871704561	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	0.0770930330928033	2	0.105652871704561	2	0.105652871704561	NA	NA	SegRatio=0.08,AbsMeanSigma=0.06,pvalue=0.847228037191591,pvalueTTest=0.918795202517971,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	-0.0483591465038598	2	-0.0483591465038598	2	0.786676153587662	2	0.786676153587662	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.15,pvalue=0.788813046330706,pvalueTTest=0.786676153587662,
chr3	178951936	178952058	PIK3CA	AMPL7153120664	0.0659427943036821	2	-0.0483591465038598	2	0.786676153587662	2	0.786676153587662	NA	NA	SegRatio=-0.05,AbsMeanSigma=0.15,pvalue=0.788813046330706,pvalueTTest=0.786676153587662,
