gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.846489151475871	1	p-value_correction=0.846489151475871
ALK	chr2	29432581	29445319	2	0.608041693806202	1	p-value_correction=0.498199567705338
ERBB4	chr2	212566741	212570115	2	0.305593295419898	1	p-value_correction=0.348941024037132
PIK3CA	chr3	178936019	178952160	2	0.520435823917817	1	p-value_correction=0.520435823917817
FGFR3	chr4	1803553	1807934	2	0.00496257870400141	0.0545883657440155	p-value_correction=0.866499569033915
PDGFRA	chr4	55141001	55152200	2	0.00496257870400141	0.0545883657440155	p-value_correction=0.0176131910859897
KIT	chr4	55589743	55602784	2	0.00496257870400141	0.0545883657440155	p-value_correction=0.00129602450158254
EGFR	chr7	55241600	55259578	2	0.113653468752536	1	p-value_correction=0.513768709963931
MET	chr7	116339602	116435917	2	0.113653468752536	1	p-value_correction=0.0798216893601988
BRAF	chr7	140453100	140481512	2	0.113653468752536	1	p-value_correction=0.057674326396529
FGFR2	chr10	123247455	123279768	2	0.586341531786507	1	p-value_correction=0.586341531786507
HRAS	chr11	533380	534348	2	0.186082885279453	1	p-value_correction=0.156654160252327
KRAS	chr12	25378549	25398304	2	0.100158803185196	1	p-value_correction=0.0593861602089571
MAP2K1	chr15	66727413	66729224	2	0.166711345464491	1	p-value_correction=0.166711345464491
ERBB2	chr17	37880970	37881180	2	0.429095320361704	1	p-value_correction=0.429095320361704
