chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.0447245973258699	2	-0.0447245973258699	2	0.318965890902783	2	0.318965890902783	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.85,pvalue=0.140818832319831,pvalueTTest=0.318965890902783,
chr1	115256462	115256578	NRAS	AMPL7153071870	-0.00335035053111522	2	-0.0447245973258699	2	0.318965890902783	2	0.318965890902783	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.85,pvalue=0.140818832319831,pvalueTTest=0.318965890902783,
chr1	115258698	115258821	NRAS	AMPL7153669586	-0.220687356453146	2	-0.0447245973258699	2	0.318965890902783	2	0.318965890902783	NA	NA	SegRatio=-0.04,AbsMeanSigma=0.85,pvalue=0.140818832319831,pvalueTTest=0.318965890902783,
chr2	29432581	29432710	ALK	AMPL7153129486	0.891726796884419	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	29432651	29432782	ALK	AMPL7158540212	0.720837181409772	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	29436752	29436860	ALK	AMPL7153049870	0.985707993098126	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	29436860	29436982	ALK	AMPL7153049880	1.15568676284957	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	29443563	29443694	ALK	AMPL7153154662	0.831650977423781	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	29443686	29443816	ALK	AMPL7158630699	1.00088463879485	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	29445095	29445222	ALK	AMPL7156051274	1.24648729996467	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	29445209	29445319	ALK	AMPL7153153034	0.800564622136638	5.5	0.985707993098126	5.5	0.426458922818522	2	0.000270695788654448	NA	NA	SegRatio=0.99,AbsMeanSigma=6.78,pvalue=4.98760925344959e-82,pvalueTTest=0.000270695788654448,
chr2	212566741	212566867	ERBB4	AMPL7158742374	-0.162594641907951	2	-0.162594641907951	2	0.144740936253346	2	0.144740936253346	NA	NA	SegRatio=-0.16,AbsMeanSigma=1.46,pvalue=0.0391663814951574,pvalueTTest=NA,Adjusted:byPvalueMeanRatio;
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.162594641907951	2	0.144740936253346	2	0.144740936253346	NA	NA	SegRatio=-0.16,AbsMeanSigma=1.46,pvalue=0.0391663814951574,pvalueTTest=NA,Adjusted:byPvalueMeanRatio;
chr3	178936019	178936114	PIK3CA	AMPL7153077772	1.05003536703178	2	1.05003536703178	2	0.0245609086039441	2	0.0245609086039441	NA	NA	SegRatio=1.05,AbsMeanSigma=8.17,pvalue=1.86713724164891e-45,pvalueTTest=0.0245609086039441,Adjusted:byPvalueTTestRatio;
chr3	178951936	178952058	PIK3CA	AMPL7153120664	1.36368279082888	2	1.05003536703178	2	0.0245609086039441	2	0.0245609086039441	NA	NA	SegRatio=1.05,AbsMeanSigma=8.17,pvalue=1.86713724164891e-45,pvalueTTest=0.0245609086039441,Adjusted:byPvalueTTestRatio;
chr3	178952058	178952160	PIK3CA	AMPL7153011260	1.06973650278015	2	1.05003536703178	2	0.0245609086039441	2	0.0245609086039441	NA	NA	SegRatio=1.05,AbsMeanSigma=8.17,pvalue=1.86713724164891e-45,pvalueTTest=0.0245609086039441,Adjusted:byPvalueTTestRatio;
chr4	1803553	1803683	FGFR3	AMPL7153129889	0.183017640772084	3.5	0.535434028997826	3.5	0.00373622579266322	2	0.45819450000354	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	1806068	1806205	FGFR3	AMPL7153021994	NA	3.5	0.535434028997826	3.5	0.00373622579266322	2	0.45819450000354	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	1807830	1807934	FGFR3	AMPL7153021957	0.0225306302450267	3.5	0.535434028997826	3.5	0.00373622579266322	2	0.45819450000354	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55141001	55141132	PDGFRA	AMPL7154338435	0.514552048964688	3.5	0.535434028997826	3.5	0.360232074860237	1.5	0.00103606832469071	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55141127	55141247	PDGFRA	AMPL7158562435	0.744886443715272	3.5	0.535434028997826	3.5	0.360232074860237	1.5	0.00103606832469071	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55144027	55144139	PDGFRA	AMPL7158536940	0.723896458785599	3.5	0.535434028997826	3.5	0.360232074860237	1.5	0.00103606832469071	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55144087	55144214	PDGFRA	AMPL7158630701	0.42412793076852	3.5	0.535434028997826	3.5	0.360232074860237	1.5	0.00103606832469071	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55151983	55152113	PDGFRA	AMPL7153402697	0.535434028997826	3.5	0.535434028997826	3.5	0.360232074860237	1.5	0.00103606832469071	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55152079	55152200	PDGFRA	AMPL7158562436	0.525178150179292	3.5	0.535434028997826	3.5	0.360232074860237	1.5	0.00103606832469071	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55589743	55589879	KIT	AMPL7153048367.AMPL7161178196	NA	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55592006	55592112	KIT	AMPL7158630707	0.588906615133292	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55592041	55592155	KIT	AMPL7158630703	0.708553198658462	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55592150	55592251	KIT	AMPL7158630708	0.212487526212654	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55593498	55593600	KIT	AMPL7153001777	0.217640492242517	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55593600	55593725	KIT	AMPL7153001778	0.598733034639904	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55594135	55594243	KIT	AMPL7153547213	0.434452460870515	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55594243	55594350	KIT	AMPL7153171489	0.17770898834018	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55599230	55599356	KIT	AMPL7158630710	0.299155180100222	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55599340	55599456	KIT	AMPL7155741653	0.297477729702821	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55602600	55602724	KIT	AMPL7158562441	0.495149421359897	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr4	55602664	55602784	KIT	AMPL7158562437	0.612316432793875	3.5	0.535434028997826	3.5	0.248383561495979	2	0.000557542506688695	NA	NA	SegRatio=0.54,AbsMeanSigma=3.27,pvalue=7.22040107849646e-51,pvalueTTest=2.27618749743852e-06,
chr7	55241600	55241688	EGFR	AMPL7154370557	0.0837099875501775	2	-0.0323471800592059	2	0.0988542659994873	2	0.0988542659994873	NA	NA	SegRatio=-0.03,AbsMeanSigma=0.31,pvalue=0.0839450939169957,pvalueTTest=0.292020320031413,
