gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.270155717401427	0.932816087822288	p-value_correction=0.270155717401427
ALK	chr2	29432581	29445319	2	0.0298273313387925	0.268445982049133	p-value_correction=0.0114704990850673
ERBB4	chr2	212566741	212570115	2	0.0298273313387925	0.268445982049133	p-value_correction=0.419388432628005
PIK3CA	chr3	178936019	178952160	2	0.0786293559556878	0.560631021384227	p-value_correction=0.0786293559556878
FGFR3	chr4	1803553	1807934	1.5	1.12146261831633e-05	0.000112146261831633	p-value_correction=0.375327852463513
PDGFRA	chr4	55141001	55152200	1.5	1.12146261831633e-05	0.000112146261831633	p-value_correction=0.219317115286596
KIT	chr4	55589743	55602784	1.5	1.12146261831633e-05	0.000112146261831633	p-value_correction=0.000327662414540712
EGFR	chr7	55241600	55259578	2	0.561353884882884	1	p-value_correction=0.0424932972980475
MET	chr7	116339602	116435917	2	0.561353884882884	1	p-value_correction=0.231689085444938
BRAF	chr7	140453100	140481512	2	0.561353884882884	1	p-value_correction=0.785420943027206
FGFR2	chr10	123247455	123279768	2	0.0835535418362981	0.560631021384227	p-value_correction=0.0835535418362981
HRAS	chr11	533380	534348	2	0.233204021955572	0.932816087822288	p-value_correction=0.169970331002866
KRAS	chr12	25378549	25398304	2	0.165923820086753	0.829619100433765	p-value_correction=0.00808246477833001
MAP2K1	chr15	66727413	66729224	2	0.0700788776730284	0.560631021384227	p-value_correction=0.0700788776730284
ERBB2	chr17	37880970	37881180	2	0.632325818586415	1	p-value_correction=0.632325818586415
