gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.656996259538155	1	p-value_correction=0.643858389637631
ALK	chr2	29432581	29445319	2	0.427794708114465	1	p-value_correction=0.590138765717877
ERBB4	chr2	212566741	212570115	2	0.427794708114465	1	p-value_correction=0.167454236482358
PIK3CA	chr3	178936019	178952160	2	0.273042692822632	1	p-value_correction=0.215690954479391
FGFR3	chr4	1803553	1807934	2	0.841050549659175	1	p-value_correction=0.0226393098489568
PDGFRA	chr4	55141001	55152200	2	0.841050549659175	1	p-value_correction=0.866784984794293
KIT	chr4	55589743	55602784	2	0.841050549659175	1	p-value_correction=0.241711256322035
EGFR	chr7	55241600	55259578	2	0.516416695616599	1	p-value_correction=0.109110588222086
MET	chr7	116339602	116435917	2	0.516416695616599	1	p-value_correction=0.00935950396595815
BRAF	chr7	140453100	140481512	2	0.516416695616599	1	p-value_correction=0.0302262329084093
FGFR2	chr10	123247455	123279768	2	0.843031392928403	1	p-value_correction=0.843031392928403
HRAS	chr11	533380	534348	2	0.227065044579013	1	p-value_correction=0.118440133859566
KRAS	chr12	25378549	25398304	2	0.862574150173149	1	p-value_correction=0.759388137485589
MAP2K1	chr15	66727413	66729224	2	0.441412729502183	1	p-value_correction=0.299165085111234
ERBB2	chr17	37880970	37881180	2	0.287287432261248	1	p-value_correction=0.287287432261248
