gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.465367221330535	1	p-value_correction=0.465367221330535
ALK	chr2	29432581	29445319	2.5	0.00465227740791379	0.0465227740791379	p-value_correction=0.399288064072665
ERBB4	chr2	212566741	212570115	2.5	0.00465227740791379	0.0465227740791379	p-value_correction=0.021077498702629
PIK3CA	chr3	178936019	178952160	2	0.376817892749628	1	p-value_correction=0.105216172590411
FGFR3	chr4	1803553	1807934	2	0.220922841780522	1	p-value_correction=0.109837848340669
PDGFRA	chr4	55141001	55152200	1.5	0.000418781169202659	0.00460659286122925	p-value_correction=0.108900937039181
KIT	chr4	55589743	55602784	1.5	0.000418781169202659	0.00460659286122925	possible.CN=2.5, p-value_correction=0.47589633718042
EGFR	chr7	55241600	55259578	2	0.867263137097042	1	p-value_correction=0.807293546295405
MET	chr7	116339602	116435917	2	0.867263137097042	1	p-value_correction=0.969796002182331
BRAF	chr7	140453100	140481512	2	0.867263137097042	1	p-value_correction=0.45686855362888
FGFR2	chr10	123247455	123279768	2	0.92620122427711	1	p-value_correction=0.924503343474477
HRAS	chr11	533380	534348	2	0.481056062054637	1	p-value_correction=0.481056062054637
KRAS	chr12	25378549	25398304	2	0.087774147906367	0.789967331157303	p-value_correction=0.087774147906367
MAP2K1	chr15	66727413	66729224	2	0.274471470625647	1	p-value_correction=0.274471470625647
ERBB2	chr17	37880970	37881180	2	0.222740303510143	1	p-value_correction=0.222740303510143
