gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.408984322145628	1	p-value_correction=0.408984322145628
ALK	chr2	29432581	29445319	2	0.967239499552058	1	p-value_correction=0.897775501997561
ERBB4	chr2	212566741	212570115	2	0.967239499552058	1	p-value_correction=0.675692792978855
PIK3CA	chr3	178936019	178952160	2	0.453469076280041	1	p-value_correction=0.0469835840866931
FGFR3	chr4	1803553	1807934	2	0.0420126428618118	0.378113785756306	p-value_correction=0.457106870748373
PDGFRA	chr4	55141001	55152200	2	0.0420126428618118	0.378113785756306	p-value_correction=0.139406639116459
KIT	chr4	55589743	55602784	2	0.0420126428618118	0.378113785756306	p-value_correction=0.0202882591904272
EGFR	chr7	55241600	55259578	2	0.557362146564859	1	p-value_correction=0.719909525673581
MET	chr7	116339602	116435917	2	0.557362146564859	1	p-value_correction=0.73309593946683
BRAF	chr7	140453100	140481512	2	0.557362146564859	1	p-value_correction=0.214905481992266
FGFR2	chr10	123247455	123279768	2	0.992027528430175	1	p-value_correction=0.992027528430175
HRAS	chr11	533380	534348	2	0.00898623102929367	0.0898623102929367	p-value_correction=0.00668879354112928
KRAS	chr12	25378549	25398304	2	0.504296009643409	1	p-value_correction=0.159141794406977
MAP2K1	chr15	66727413	66729224	2	0.329666545474302	1	p-value_correction=0.0661128767266583
ERBB2	chr17	37880970	37881180	2	0.369192994516721	1	p-value_correction=0.369192994516721
