gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.224853564257521	1	p-value_correction=0.0755661575745408
ALK	chr2	29432581	29445319	2	0.168402648921938	1	p-value_correction=0.0164510624405602
ERBB4	chr2	212566741	212570115	2	0.0915637987092005	0.824074188382805	p-value_correction=0.232855815709581
PIK3CA	chr3	178936019	178952160	2	0.0444821685958211	0.489303854554032	p-value_correction=0.0444821685958211
FGFR3	chr4	1803553	1807934	2.5	0.000578943005238423	0.00694731606286108	p-value_correction=0.424659434608222
PDGFRA	chr4	55141001	55152200	2.5	0.000578943005238423	0.00694731606286108	p-value_correction=0.497125678300369
KIT	chr4	55589743	55602784	1.5	0.00013817362507961	0.00179625712603493	possible.CN=2.5, p-value_correction=0.472289670160135
EGFR	chr7	55241600	55259578	2	0.451131769232154	1	p-value_correction=0.0107253545179485
MET	chr7	116339602	116435917	2	0.48133924065053	1	p-value_correction=0.0417439742874261
BRAF	chr7	140453100	140481512	2	0.48133924065053	1	p-value_correction=0.792086177908382
FGFR2	chr10	123247455	123279768	2	0.252440379432933	1	p-value_correction=0.0184116619475966
HRAS	chr11	533380	534348	2	0.0718423286600017	0.718423286600017	p-value_correction=0.0718423286600017
KRAS	chr12	25378549	25398304	2	0.289998621020151	1	p-value_correction=0.289998621020151
MAP2K1	chr15	66727413	66729224	2	0.820620348200194	1	p-value_correction=0.791798137547627
ERBB2	chr17	37880970	37881180	2	0.421290483567399	1	p-value_correction=0.383178660953436
