gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.0997601103887183	0.626452835419572	p-value_correction=0.0997601103887183
ALK	chr2	29432581	29445319	2	0.0291110735649453	0.261999662084508	p-value_correction=0.0474461497469006
ERBB4	chr2	212566741	212570115	2	0.0291110735649453	0.261999662084508	p-value_correction=0.445364159649549
PIK3CA	chr3	178936019	178952160	2	0.224739662013034	1	p-value_correction=0.224739662013034
FGFR3	chr4	1803553	1807934	2	2.76939699352964e-05	0.000276939699352964	p-value_correction=0.726616863725867
PDGFRA	chr4	55141001	55152200	2	2.76939699352964e-05	0.000276939699352964	p-value_correction=0.0104914528063279
KIT	chr4	55589743	55602784	2	2.76939699352964e-05	0.000276939699352964	p-value_correction=0.000496974604886357
EGFR	chr7	55241600	55259578	2	0.567638932306533	1	p-value_correction=0.950415426267806
MET	chr7	116339602	116435917	2	0.567638932306533	1	p-value_correction=0.163094552663572
BRAF	chr7	140453100	140481512	2	0.567638932306533	1	p-value_correction=0.194901989669689
FGFR2	chr10	123247455	123279768	2	0.366081862364077	1	p-value_correction=0.366081862364077
HRAS	chr11	533380	534348	2	0.089493262202796	0.626452835419572	p-value_correction=0.089493262202796
KRAS	chr12	25378549	25398304	2	0.874807471633776	1	p-value_correction=0.817427818537687
MAP2K1	chr15	66727413	66729224	2	0.0393987239392338	0.31518979151387	p-value_correction=0.0393987239392338
ERBB2	chr17	37880970	37881180	2	0.884334998211386	1	p-value_correction=0.884334998211386
