gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.178231955687513	1	p-value_correction=0.178231955687513
ALK	chr2	29432581	29445319	2	0.384323435750613	1	p-value_correction=0.742673551305032
ERBB4	chr2	212566741	212570115	2	0.384323435750613	1	p-value_correction=0.0274693009432965
PIK3CA	chr3	178936019	178952160	2	0.481094962232772	1	p-value_correction=0.481094962232772
FGFR3	chr4	1803553	1807934	2	0.48826402398209	1	p-value_correction=0.93681548544256
PDGFRA	chr4	55141001	55152200	2	0.48826402398209	1	p-value_correction=0.33128888130394
KIT	chr4	55589743	55602784	2	0.48826402398209	1	p-value_correction=0.79638505129959
EGFR	chr7	55241600	55259578	2	0.630407323722335	1	p-value_correction=0.63300725672541
MET	chr7	116339602	116435917	2	0.630407323722335	1	p-value_correction=0.999135328316497
BRAF	chr7	140453100	140481512	2	0.630407323722335	1	p-value_correction=0.326807076586067
FGFR2	chr10	123247455	123279768	2	0.0359781678838392	0.359781678838392	p-value_correction=0.0359781678838392
HRAS	chr11	533380	534348	2	0.133358693616526	1	p-value_correction=0.133358693616526
KRAS	chr12	25378549	25398304	2	0.491285077955681	1	p-value_correction=0.0486655316199302
MAP2K1	chr15	66727413	66729224	2	0.848238682588014	1	p-value_correction=0.848238682588014
ERBB2	chr17	37880970	37881180	2	0.420802798813373	1	p-value_correction=0.420802798813373
