gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.959303135428468	1	p-value_correction=0.959303135428468
ALK	chr2	29432581	29445319	2	0.243966637687106	1	p-value_correction=0.29879321931231
ERBB4	chr2	212566741	212570115	2	0.243966637687106	1	p-value_correction=0.510508856275169
PIK3CA	chr3	178936019	178952160	2	0.898114768743857	1	p-value_correction=0.808025838141684
FGFR3	chr4	1803553	1807934	2	0.624056891222293	1	p-value_correction=0.0485876938245783
PDGFRA	chr4	55141001	55152200	2	0.624056891222293	1	p-value_correction=0.706260789069397
KIT	chr4	55589743	55602784	2	0.624056891222293	1	p-value_correction=0.25071277255991
EGFR	chr7	55241600	55259578	2	0.962839372441617	1	p-value_correction=0.364029783174295
MET	chr7	116339602	116435917	2	0.962839372441617	1	p-value_correction=0.421206372721055
BRAF	chr7	140453100	140481512	2	0.962839372441617	1	p-value_correction=0.0372659826241941
FGFR2	chr10	123247455	123279768	2	0.461890693991604	1	p-value_correction=0.461890693991604
HRAS	chr11	533380	534348	2	0.844870949666824	1	p-value_correction=0.844870949666824
KRAS	chr12	25378549	25398304	2	0.919552254374815	1	p-value_correction=0.791375143088908
MAP2K1	chr15	66727413	66729224	2	0.288562376034009	1	p-value_correction=0.141714174585847
ERBB2	chr17	37880970	37881180	2	0.441454112293885	1	p-value_correction=0.441454112293885
