chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.274283469914808	2	-0.149953938655507	2	0.194745950170949	2	0.194745950170949	NA	NA	SegRatio=-0.15,AbsMeanSigma=1.66,pvalue=0.00408121207458638,pvalueTTest=0.194745950170949,Adjusted:byPvalueTTestRatio;
chr1	115256462	115256578	NRAS	AMPL7153071870	-0.0230951723185883	2	-0.149953938655507	2	0.194745950170949	2	0.194745950170949	NA	NA	SegRatio=-0.15,AbsMeanSigma=1.66,pvalue=0.00408121207458638,pvalueTTest=0.194745950170949,Adjusted:byPvalueTTestRatio;
chr1	115258698	115258821	NRAS	AMPL7153669586	-0.149953938655507	2	-0.149953938655507	2	0.194745950170949	2	0.194745950170949	NA	NA	SegRatio=-0.15,AbsMeanSigma=1.66,pvalue=0.00408121207458638,pvalueTTest=0.194745950170949,Adjusted:byPvalueTTestRatio;
chr2	29432581	29432710	ALK	AMPL7153129486	0.217121068558089	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	29432651	29432782	ALK	AMPL7158540212	-0.217026935056958	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.278472202919402	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	29436860	29436982	ALK	AMPL7153049880	0.0366602944170524	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	29443563	29443694	ALK	AMPL7153154662	0.0180664357204209	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.526014736465162	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	q-value=2.43346263899603e-09, copies=1	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	29445095	29445222	ALK	AMPL7156051274	-0.442204404206095	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	29445209	29445319	ALK	AMPL7153153034	-0.110491543030677	2	0.0180664357204209	2	0.154496102028361	2	0.154496102028361	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	212566741	212566867	ERBB4	AMPL7158742374	0.21816818426941	2	0.0180664357204209	2	0.0170699172558097	2	0.0170699172558097	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	0.0180664357204209	2	0.0170699172558097	2	0.0170699172558097	NA	NA	SegRatio=0.02,AbsMeanSigma=1,pvalue=0.001638364026848,pvalueTTest=0.295877076923399,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	-0.0625857959085789	2	-0.0625857959085789	2	0.440222423265111	2	0.440222423265111	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.31,pvalue=0.586857898830619,pvalueTTest=0.440222423265111,
chr3	178951936	178952058	PIK3CA	AMPL7153120664	0.0541603740658333	2	-0.0625857959085789	2	0.440222423265111	2	0.440222423265111	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.31,pvalue=0.586857898830619,pvalueTTest=0.440222423265111,
chr3	178952058	178952160	PIK3CA	AMPL7153011260	-0.0587623555754666	2	-0.0625857959085789	2	0.440222423265111	2	0.440222423265111	NA	NA	SegRatio=-0.06,AbsMeanSigma=0.31,pvalue=0.586857898830619,pvalueTTest=0.440222423265111,
chr4	1803553	1803683	FGFR3	AMPL7153129889	0.0778927909527075	2	-0.0154263159796466	2	0.794132167345001	2	0.794132167345001	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	1806068	1806205	FGFR3	AMPL7153021994	NA	2	-0.0154263159796466	2	0.794132167345001	2	0.794132167345001	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	1807830	1807934	FGFR3	AMPL7153021957	-0.292817407786577	2	-0.0154263159796466	2	0.794132167345001	2	0.794132167345001	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55141001	55141132	PDGFRA	AMPL7154338435	-0.0335589857859743	2	-0.0154263159796466	2	0.250857837296143	2	0.250857837296143	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55141127	55141247	PDGFRA	AMPL7158562435	-0.0154263159796466	2	-0.0154263159796466	2	0.250857837296143	2	0.250857837296143	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55144027	55144139	PDGFRA	AMPL7158536940	-0.0538576112715851	2	-0.0154263159796466	2	0.250857837296143	2	0.250857837296143	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55144087	55144214	PDGFRA	AMPL7158630701	0.0835821437230395	2	-0.0154263159796466	2	0.250857837296143	2	0.250857837296143	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55151983	55152113	PDGFRA	AMPL7153402697	-0.0558900075133084	2	-0.0154263159796466	2	0.250857837296143	2	0.250857837296143	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55152079	55152200	PDGFRA	AMPL7158562436	-0.00816155338050741	2	-0.0154263159796466	2	0.250857837296143	2	0.250857837296143	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55589743	55589879	KIT	AMPL7153048367.AMPL7161178196	NA	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55592006	55592112	KIT	AMPL7158630707	-0.0937108941677122	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55592041	55592155	KIT	AMPL7158630703	0.00958054050560026	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55592150	55592251	KIT	AMPL7158630708	0.0375492998981763	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55593498	55593600	KIT	AMPL7153001777	-0.034655319519268	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55593600	55593725	KIT	AMPL7153001778	0.043993725501206	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55594135	55594243	KIT	AMPL7153547213	0.172929892075986	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55594243	55594350	KIT	AMPL7153171489	0.0707747596422359	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55599230	55599356	KIT	AMPL7158630710	0.0667323632718171	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55599340	55599456	KIT	AMPL7155741653	0.0239971470814476	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55602600	55602724	KIT	AMPL7158562441	0.020503296198783	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr4	55602664	55602784	KIT	AMPL7158562437	-0.232980290704985	2	-0.0154263159796466	2	0.762067338386801	2	0.762067338386801	NA	NA	SegRatio=-0.02,AbsMeanSigma=0.17,pvalue=0.431048569026195,pvalueTTest=0.377224266965408,
chr7	55241600	55241688	EGFR	AMPL7154370557	0.272823137234287	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	55241677	55241801	EGFR	AMPL7153032956	0.514266876011144	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	55242411	55242540	EGFR	CHP2_EGFR_5	-0.127445276986036	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	55248956	55249084	EGFR	AMPL7153072051	0.559557880194712	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	55249004	55249139	EGFR	AMPL7153033044	0.243662141924382	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	55249118	55249244	EGFR	AMPL7158526937	0.116098796888555	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	55259364	55259492	EGFR	AMPL7154370552	0.0319999200443398	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	55259481	55259578	EGFR	AMPL7154370553	0.0689625057416839	2	0.0391671525826341	2	0.0403948881204177	2	0.0403948881204177	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
chr7	116339602	116339701	MET	AMPL7153153148	0.162356350455472	2	0.0391671525826341	2	0.158606530908016	2	0.158606530908016	NA	NA	SegRatio=0.04,AbsMeanSigma=0.56,pvalue=0.00166887996135488,pvalueTTest=0.0222805357591691,
