gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.307839127915769	1	p-value_correction=0.307839127915769
ALK	chr2	29432581	29445319	2	0.297744950807404	1	p-value_correction=0.442664755457683
ERBB4	chr2	212566741	212570115	2	0.297744950807404	1	p-value_correction=0.392279720282958
PIK3CA	chr3	178936019	178952160	2	0.903354502279822	1	p-value_correction=0.777460259919318
FGFR3	chr4	1803553	1807934	2	0.736486027977099	1	p-value_correction=0.358193437402901
PDGFRA	chr4	55141001	55152200	2	0.736486027977099	1	p-value_correction=0.577854012805273
KIT	chr4	55589743	55602784	2	0.736486027977099	1	p-value_correction=0.0737014064244686
EGFR	chr7	55241600	55259578	2	0.389498442296151	1	p-value_correction=0.389498442296151
MET	chr7	116339602	116435917	5	3.54817073829733e-08	4.2578048859568e-07	possible.CN=1.5, p-value_correction=0.469182927941275
BRAF	chr7	140453100	140481512	2	0.173054650183957	1	p-value_correction=0.173054650183957
FGFR2	chr10	123247455	123279768	2	0.07253294835027	0.79786243185297	p-value_correction=0.971552922925655
HRAS	chr11	533380	534348	2	0.586329988224776	1	p-value_correction=0.586329988224776
KRAS	chr12	25378549	25398304	2	0.0868584019404783	0.868584019404783	p-value_correction=0.0868584019404783
MAP2K1	chr15	66727413	66729224	2	0.526401978150375	1	p-value_correction=0.526401978150375
ERBB2	chr17	37880970	37881180	2	0.131012617462209	1	p-value_correction=0.131012617462209
