chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.00608300112998676	2	-0.00608300112998676	2	0.503990085051957	2	0.503990085051957	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.39411792956866,pvalueTTest=0.503990085051957,
chr1	115256462	115256578	NRAS	AMPL7153071870	0.410101122494156	2	-0.00608300112998676	2	0.503990085051957	2	0.503990085051957	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.39411792956866,pvalueTTest=0.503990085051957,
chr1	115258698	115258821	NRAS	AMPL7153669586	-0.0178986481530197	2	-0.00608300112998676	2	0.503990085051957	2	0.503990085051957	NA	NA	SegRatio=-0.01,AbsMeanSigma=0.49,pvalue=0.39411792956866,pvalueTTest=0.503990085051957,
chr2	29432581	29432710	ALK	AMPL7153129486	-0.281619758325934	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	29432651	29432782	ALK	AMPL7158540212	-0.0305557166757185	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	29436752	29436860	ALK	AMPL7153049870	-0.204360563112234	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	29436860	29436982	ALK	AMPL7153049880	-0.127061871794723	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	29443563	29443694	ALK	AMPL7153154662	-0.288659075814064	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	29443686	29443816	ALK	AMPL7158630699	-0.425351007688883	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	29445095	29445222	ALK	AMPL7156051274	-0.252570958144568	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	29445209	29445319	ALK	AMPL7153153034	-0.234090195971548	2	-0.234090195971548	2	0.444281703294062	2.5	0.00583207189739668	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	212566741	212566867	ERBB4	AMPL7158742374	0.273590638902907	2	-0.234090195971548	2	0.0126749944874113	2	0.0126749944874113	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.234090195971548	2	0.0126749944874113	2	0.0126749944874113	NA	NA	SegRatio=-0.23,AbsMeanSigma=1.31,pvalue=3.46507540952391e-05,pvalueTTest=0.0687200001860485,Adjusted:byPvalueTTestRatio;
