gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.322834084395421	1	p-value_correction=0.322834084395421
ALK	chr2	29432581	29445319	2	0.261179253498015	1	p-value_correction=0.300521483310337
ERBB4	chr2	212566741	212570115	2	0.261179253498015	1	p-value_correction=0.674645978647179
PIK3CA	chr3	178936019	178952160	2	0.480084015677703	1	p-value_correction=0.480084015677704
FGFR3	chr4	1803553	1807934	2	0.960228369448327	1	p-value_correction=0.652308780353979
PDGFRA	chr4	55141001	55152200	2	0.960228369448327	1	p-value_correction=0.764595992665054
KIT	chr4	55589743	55602784	2	0.960228369448327	1	p-value_correction=0.48168489153932
EGFR	chr7	55241600	55259578	2	0.0156476704067183	0.156476704067183	p-value_correction=0.0156476704067183
MET	chr7	116339602	116435917	1.5	1.83042469070634e-05	0.000219650962884761	p-value_correction=0.368783903045538
BRAF	chr7	140453100	140481512	2	0.0126867486819082	0.13955423550099	p-value_correction=0.0126867486819082
FGFR2	chr10	123247455	123279768	2	0.775110525038387	1	p-value_correction=0.775110525038387
HRAS	chr11	533380	534348	2	0.223871170450324	1	p-value_correction=0.223871170450324
KRAS	chr12	25378549	25398304	2	0.703808196206847	1	p-value_correction=0.344784746716423
MAP2K1	chr15	66727413	66729224	2	0.119948751030727	0.959590008245816	p-value_correction=0.119948751030727
ERBB2	chr17	37880970	37881180	2	0.0343957169543982	0.309561452589584	p-value_correction=0.0343957169543982
