gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.91270985640377	1	p-value_correction=0.91270985640377
ALK	chr2	29432581	29445319	2	0.918795202517971	1	p-value_correction=0.671454887764837
ERBB4	chr2	212566741	212570115	2	0.918795202517971	1	p-value_correction=0.105652871704561
PIK3CA	chr3	178936019	178952160	2	0.788813046330706	1	p-value_correction=0.786676153587662
FGFR3	chr4	1803553	1807934	2	0.328192973578998	1	p-value_correction=0.0643170459152834
PDGFRA	chr4	55141001	55152200	2	0.328192973578998	1	p-value_correction=0.878564126661931
KIT	chr4	55589743	55602784	2	0.328192973578998	1	p-value_correction=0.140299931512618
EGFR	chr7	55241600	55259578	2	0.543220304653974	1	p-value_correction=0.471313940916521
MET	chr7	116339602	116435917	2	0.543220304653974	1	p-value_correction=0.729898258501776
BRAF	chr7	140453100	140481512	2	0.543220304653974	1	p-value_correction=0.995709414448572
FGFR2	chr10	123247455	123279768	2	0.61801126235585	1	p-value_correction=0.61801126235585
HRAS	chr11	533380	534348	2	0.0175645032325295	0.175645032325295	p-value_correction=0.0175645032325295
KRAS	chr12	25378549	25398304	2	0.893679329280123	1	p-value_correction=0.856069411774096
MAP2K1	chr15	66727413	66729224	2	0.0368580420804607	0.331722378724146	p-value_correction=0.0117881037574466
ERBB2	chr17	37880970	37881180	2	0.488048297777862	1	p-value_correction=0.488048297777862
