gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.194745950170949	1	p-value_correction=0.194745950170949
ALK	chr2	29432581	29445319	2	0.295877076923399	1	p-value_correction=0.154496102028361
ERBB4	chr2	212566741	212570115	2	0.295877076923399	1	p-value_correction=0.0170699172558097
PIK3CA	chr3	178936019	178952160	2	0.586857898830619	1	p-value_correction=0.440222423265111
FGFR3	chr4	1803553	1807934	2	0.431048569026195	1	p-value_correction=0.794132167345001
PDGFRA	chr4	55141001	55152200	2	0.431048569026195	1	p-value_correction=0.250857837296143
KIT	chr4	55589743	55602784	2	0.431048569026195	1	p-value_correction=0.762067338386801
EGFR	chr7	55241600	55259578	2	0.0222805357591691	0.200524821832522	p-value_correction=0.0403948881204177
MET	chr7	116339602	116435917	2	0.0222805357591691	0.200524821832522	p-value_correction=0.158606530908016
BRAF	chr7	140453100	140481512	2	0.0222805357591691	0.200524821832522	p-value_correction=0.680865074636276
FGFR2	chr10	123247455	123279768	2	0.196814468021019	1	p-value_correction=0.196814468021019
HRAS	chr11	533380	534348	1.5	0.00233372123871437	0.0233372123871437	p-value_correction=0.373311795036584
KRAS	chr12	25378549	25398304	2	0.468566679682649	1	p-value_correction=0.429460209961715
MAP2K1	chr15	66727413	66729224	2	0.731473262143755	1	p-value_correction=0.731473262143755
ERBB2	chr17	37880970	37881180	2	0.195890398074311	1	p-value_correction=0.195890398074311
