gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.286182981349305	1	p-value_correction=0.286182981349305
ALK	chr2	29432581	29445319	2	0.081717075995124	0.81717075995124	p-value_correction=0.0628610748316567
ERBB4	chr2	212566741	212570115	2	0.081717075995124	0.81717075995124	p-value_correction=0.727725519411954
PIK3CA	chr3	178936019	178952160	2	0.427242766756349	1	p-value_correction=0.423438010511489
FGFR3	chr4	1803553	1807934	2	0.847307201441645	1	p-value_correction=0.876472717450746
PDGFRA	chr4	55141001	55152200	2	0.847307201441645	1	p-value_correction=0.227512868426638
KIT	chr4	55589743	55602784	2	0.847307201441645	1	p-value_correction=0.185030117895621
EGFR	chr7	55241600	55259578	2	0.409595962947843	1	p-value_correction=0.0339473323991528
MET	chr7	116339602	116435917	2	0.409595962947843	1	p-value_correction=0.711880217992265
BRAF	chr7	140453100	140481512	2	0.409595962947843	1	p-value_correction=0.0674720924104094
FGFR2	chr10	123247455	123279768	2	0.10501571327142	0.94514141944278	p-value_correction=0.10501571327142
HRAS	chr11	533380	534348	2	0.352720491488494	1	p-value_correction=0.352720491488494
KRAS	chr12	25378549	25398304	2	0.877494746851807	1	p-value_correction=0.877494746851807
MAP2K1	chr15	66727413	66729224	2	0.176599565725492	1	p-value_correction=0.176599565725492
ERBB2	chr17	37880970	37881180	2	0.115628889080085	0.94514141944278	p-value_correction=0.115628889080085
