gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.526486603082021	1	p-value_correction=0.526486603082021
ALK	chr2	29432581	29445319	2	0.0606099563441321	0.424269694408925	p-value_correction=0.0680624690842059
ERBB4	chr2	212566741	212570115	2	0.0606099563441321	0.424269694408925	p-value_correction=0.831074423235767
PIK3CA	chr3	178936019	178952160	2	0.251729839636008	1	p-value_correction=0.251729839636008
FGFR3	chr4	1803553	1807934	2.5	1.28529474011514e-06	1.28529474011514e-05	p-value_correction=0.177931654123272
PDGFRA	chr4	55141001	55152200	2.5	1.28529474011514e-06	1.28529474011514e-05	p-value_correction=0.000858675392699134
KIT	chr4	55589743	55602784	2.5	1.28529474011514e-06	1.28529474011514e-05	p-value_correction=0.000572796870617547
EGFR	chr7	55241600	55259578	2	0.308900770990983	1	p-value_correction=0.0384956333066074
MET	chr7	116339602	116435917	2	0.308900770990983	1	p-value_correction=0.128580707431469
BRAF	chr7	140453100	140481512	2	0.308900770990983	1	p-value_correction=0.214983440433022
FGFR2	chr10	123247455	123279768	2	0.0413640454227187	0.33091236338175	p-value_correction=0.0413640454227187
HRAS	chr11	533380	534348	2	0.0147738213850916	0.132964392465824	p-value_correction=0.0147738213850916
KRAS	chr12	25378549	25398304	2	0.565423520338665	1	p-value_correction=0.559035318321375
MAP2K1	chr15	66727413	66729224	2	0.1486546904697	0.8919281428182	p-value_correction=0.1486546904697
ERBB2	chr17	37880970	37881180	2	0.628930630947224	1	p-value_correction=0.628930630947224
