gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.143917001913277	1	p-value_correction=0.143917001913277
ALK	chr2	29432581	29445319	2	0.697712201883461	1	p-value_correction=0.820325952786043
ERBB4	chr2	212566741	212570115	2	0.697712201883461	1	p-value_correction=0.407286861908704
PIK3CA	chr3	178936019	178952160	2	0.836672317641871	1	p-value_correction=0.695234405488673
FGFR3	chr4	1803553	1807934	2	0.699888379063741	1	p-value_correction=0.345559045906834
PDGFRA	chr4	55141001	55152200	2	0.699888379063741	1	p-value_correction=0.251504627783275
KIT	chr4	55589743	55602784	2	0.699888379063741	1	p-value_correction=0.0357528647393133
EGFR	chr7	55241600	55259578	2	0.958882557449016	1	p-value_correction=0.167799150485284
MET	chr7	116339602	116435917	2	0.958882557449016	1	p-value_correction=0.179260111527616
BRAF	chr7	140453100	140481512	2	0.958882557449016	1	p-value_correction=0.562477467464604
FGFR2	chr10	123247455	123279768	2	0.30148030205157	1	p-value_correction=0.30148030205157
HRAS	chr11	533380	534348	2	0.273580279440041	1	p-value_correction=0.273580279440041
KRAS	chr12	25378549	25398304	2	0.257484526948629	1	p-value_correction=0.115472038036581
MAP2K1	chr15	66727413	66729224	2	0.191979171364889	1	p-value_correction=0.0973671667607307
ERBB2	chr17	37880970	37881180	2	0.840063947799397	1	p-value_correction=0.210503596037514
