gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.0758322886221275	0.593154451133561	p-value_correction=0.0758322886221275
ALK	chr2	29432581	29445319	2	0.228293489987583	1	p-value_correction=0.283986714572878
ERBB4	chr2	212566741	212570115	2	0.228293489987583	1	p-value_correction=0.640663297728561
PIK3CA	chr3	178936019	178952160	2	0.0627959111353159	0.565163200217843	p-value_correction=0.0627959111353159
FGFR3	chr4	1803553	1807934	2	0.00021837072309471	0.0021837072309471	p-value_correction=0.805623698481969
PDGFRA	chr4	55141001	55152200	2	0.00021837072309471	0.0021837072309471	p-value_correction=0.0247813214009479
KIT	chr4	55589743	55602784	2	0.00021837072309471	0.0021837072309471	p-value_correction=0.000920208351999072
EGFR	chr7	55241600	55259578	2	0.577029390164378	1	p-value_correction=0.372421351829957
MET	chr7	116339602	116435917	2	0.577029390164378	1	p-value_correction=0.0658460371911363
BRAF	chr7	140453100	140481512	2	0.577029390164378	1	p-value_correction=0.428768155125042
FGFR2	chr10	123247455	123279768	2	0.0741443063916951	0.593154451133561	p-value_correction=0.0741443063916951
HRAS	chr11	533380	534348	2	0.0813279430426407	0.593154451133561	p-value_correction=0.0813279430426407
KRAS	chr12	25378549	25398304	2	0.559657042703446	1	p-value_correction=0.473299346487488
MAP2K1	chr15	66727413	66729224	2	0.688412623981464	1	p-value_correction=0.52917758498948
ERBB2	chr17	37880970	37881180	2	0.459425837826188	1	p-value_correction=0.459425837826188
