gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.966418498383218	1	p-value_correction=0.935521963038661
ALK	chr2	29432581	29445319	2	0.600355098628501	1	p-value_correction=0.732637699914847
ERBB4	chr2	212566741	212570115	2	0.600355098628501	1	p-value_correction=0.0023558344755705
PIK3CA	chr3	178936019	178952160	2	0.520450481364789	1	p-value_correction=0.520450481364789
FGFR3	chr4	1803553	1807934	2	0.611634767631157	1	p-value_correction=0.423062268692926
PDGFRA	chr4	55141001	55152200	2	0.611634767631157	1	p-value_correction=0.685749651190124
KIT	chr4	55589743	55602784	2	0.611634767631157	1	p-value_correction=0.357808070424353
EGFR	chr7	55241600	55259578	2.5	3.35403624548369e-07	3.35403624548369e-06	possible.CN=3, p-value_correction=0.24974533510638
MET	chr7	116339602	116435917	3	3.35403624548369e-07	3.35403624548369e-06	p-value_correction=0.457592260739324
BRAF	chr7	140453100	140481512	3	3.35403624548369e-07	3.35403624548369e-06	p-value_correction=0.173566105275684
FGFR2	chr10	123247455	123279768	2	0.657173293698067	1	p-value_correction=0.614846479815793
HRAS	chr11	533380	534348	2	0.1478806556424	1	p-value_correction=0.1478806556424
KRAS	chr12	25378549	25398304	2	0.191726213911699	1	p-value_correction=0.191726213911699
MAP2K1	chr15	66727413	66729224	2	0.929070843149028	1	p-value_correction=0.822554159380245
ERBB2	chr17	37880970	37881180	2	0.462214734216871	1	p-value_correction=0.462214734216871
