gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.777056115745949	1	p-value_correction=0.677902305984392
ALK	chr2	29432581	29445319	2	0.238239156635717	1	p-value_correction=0.227116386735617
ERBB4	chr2	212566741	212570115	2	0.238239156635717	1	p-value_correction=0.90435163506424
PIK3CA	chr3	178936019	178952160	2	0.388510455640568	1	p-value_correction=0.388510455640568
FGFR3	chr4	1803553	1807934	2	0.160137235922652	0.960823415535912	p-value_correction=0.511943090337177
PDGFRA	chr4	55141001	55152200	2	0.160137235922652	0.960823415535912	p-value_correction=0.0754903668447687
KIT	chr4	55589743	55602784	2	0.160137235922652	0.960823415535912	p-value_correction=0.655977306334164
EGFR	chr7	55241600	55259578	2	0.020747036371377	0.20747036371377	p-value_correction=0.809200622074868
MET	chr7	116339602	116435917	2	0.020747036371377	0.20747036371377	p-value_correction=0.00209978506632331
BRAF	chr7	140453100	140481512	2	0.020747036371377	0.20747036371377	p-value_correction=0.803103010563403
FGFR2	chr10	123247455	123279768	2	0.0674869574441077	0.607382616996969	p-value_correction=0.0160298481739976
HRAS	chr11	533380	534348	2	0.123928111436274	0.867496780053918	p-value_correction=0.123928111436274
KRAS	chr12	25378549	25398304	2	0.0792237230721373	0.633789784577098	p-value_correction=0.0792237230721373
MAP2K1	chr15	66727413	66729224	2	0.644150757123125	1	p-value_correction=0.366032389490378
ERBB2	chr17	37880970	37881180	2	0.247455115224185	1	p-value_correction=0.247455115224185
