gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.101927944004959	0.509639720024795	p-value_correction=0.101927944004959
ALK	chr2	29432581	29445319	1.5	0.0077443959117781	0.0696995632060029	p-value_correction=0.456691478689615
ERBB4	chr2	212566741	212570115	1.5	0.0077443959117781	0.0696995632060029	p-value_correction=8.98458814102462e-06
PIK3CA	chr3	178936019	178952160	2	0.0706252670146753	0.423751602088052	p-value_correction=0.0706252670146753
FGFR3	chr4	1803553	1807934	1.5	0.00180930226169091	0.0180930226169091	p-value_correction=0.351343613410558
PDGFRA	chr4	55141001	55152200	1	7.83769812718299e-08	8.62146793990129e-07	p-value_correction=0.154285838070178
KIT	chr4	55589743	55602784	1	7.83769812718299e-08	8.62146793990129e-07	p-value_correction=0.430985107633235
EGFR	chr7	55241600	55259578	2	0.5397394314583	1	p-value_correction=0.318022728734544
MET	chr7	116339602	116435917	2	0.5397394314583	1	p-value_correction=0.969656241002938
BRAF	chr7	140453100	140481512	2	0.5397394314583	1	p-value_correction=0.8075948231386
FGFR2	chr10	123247455	123279768	2	0.0494720452509837	0.39577636200787	p-value_correction=0.0494720452509838
HRAS	chr11	533380	534348	2	0.801996565533423	1	p-value_correction=0.77419233438234
KRAS	chr12	25378549	25398304	2	0.268198809386561	0.806123514245292	p-value_correction=0.268198809386561
MAP2K1	chr15	66727413	66729224	2	0.053617866526806	0.39577636200787	p-value_correction=0.053617866526806
ERBB2	chr17	37880970	37881180	2	0.201530878561323	0.806123514245292	p-value_correction=0.201530878561323
