chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.185513979528063	2	-0.185513979528063	2	0.178231955687513	2	0.178231955687513	NA	NA	SegRatio=-0.19,AbsMeanSigma=0.8,pvalue=0.167188220663316,pvalueTTest=0.178231955687513,
chr1	115256462	115256578	NRAS	AMPL7153071870	-0.363505419579561	2	-0.185513979528063	2	0.178231955687513	2	0.178231955687513	NA	NA	SegRatio=-0.19,AbsMeanSigma=0.8,pvalue=0.167188220663316,pvalueTTest=0.178231955687513,
chr1	115258698	115258821	NRAS	AMPL7153669586	-0.00304582858288286	2	-0.185513979528063	2	0.178231955687513	2	0.178231955687513	NA	NA	SegRatio=-0.19,AbsMeanSigma=0.8,pvalue=0.167188220663316,pvalueTTest=0.178231955687513,
chr2	29432581	29432710	ALK	AMPL7153129486	0.0475547567941281	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	29432651	29432782	ALK	AMPL7158540212	0.175021458673982	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.261000916298316	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	29436860	29436982	ALK	AMPL7153049880	0.234489784005701	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	29443563	29443694	ALK	AMPL7153154662	0.0340364036705192	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.0836442915016572	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	29445095	29445222	ALK	AMPL7156051274	-0.280690685764785	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	29445209	29445319	ALK	AMPL7153153034	-0.0697018692645062	2	-0.0836442915016572	2	0.742673551305032	2	0.742673551305032	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	212566741	212566867	ERBB4	AMPL7158742374	-0.332938213514496	2	-0.0836442915016572	2	0.0274693009432965	2	0.0274693009432965	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.0836442915016572	2	0.0274693009432965	2	0.0274693009432965	NA	NA	SegRatio=-0.08,AbsMeanSigma=0.35,pvalue=0.271800069042055,pvalueTTest=0.384323435750613,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	-0.390004728632505	2	-0.390004728632505	2	0.481094962232772	2	0.481094962232772	NA	NA	SegRatio=-0.39,AbsMeanSigma=0.91,pvalue=0.113207025184172,pvalueTTest=0.481094962232772,
chr3	178951936	178952058	PIK3CA	AMPL7153120664	0.181255106609882	2	-0.390004728632505	2	0.481094962232772	2	0.481094962232772	NA	NA	SegRatio=-0.39,AbsMeanSigma=0.91,pvalue=0.113207025184172,pvalueTTest=0.481094962232772,
chr3	178952058	178952160	PIK3CA	AMPL7153011260	-0.0892420249887709	2	-0.390004728632505	2	0.481094962232772	2	0.481094962232772	NA	NA	SegRatio=-0.39,AbsMeanSigma=0.91,pvalue=0.113207025184172,pvalueTTest=0.481094962232772,
chr4	1803553	1803683	FGFR3	AMPL7153129889	-0.0209027097950032	2	0.00570378458988421	2	0.93681548544256	2	0.93681548544256	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	1806068	1806205	FGFR3	AMPL7153021994	NA	2	0.00570378458988421	2	0.93681548544256	2	0.93681548544256	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	1807830	1807934	FGFR3	AMPL7153021957	0.0320424383858405	2	0.00570378458988421	2	0.93681548544256	2	0.93681548544256	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55141001	55141132	PDGFRA	AMPL7154338435	0.0645420140762561	2	0.00570378458988421	2	0.33128888130394	2	0.33128888130394	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55141127	55141247	PDGFRA	AMPL7158562435	0.214754301864121	2	0.00570378458988421	2	0.33128888130394	2	0.33128888130394	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55144027	55144139	PDGFRA	AMPL7158536940	-0.121662675487984	2	0.00570378458988421	2	0.33128888130394	2	0.33128888130394	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55144087	55144214	PDGFRA	AMPL7158630701	0.277604826619888	2	0.00570378458988421	2	0.33128888130394	2	0.33128888130394	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55151983	55152113	PDGFRA	AMPL7153402697	-0.045146035344018	2	0.00570378458988421	2	0.33128888130394	2	0.33128888130394	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55152079	55152200	PDGFRA	AMPL7158562436	0.0608850092995776	2	0.00570378458988421	2	0.33128888130394	2	0.33128888130394	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55589743	55589879	KIT	AMPL7153048367.AMPL7161178196	NA	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55592006	55592112	KIT	AMPL7158630707	-0.150623232017655	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55592041	55592155	KIT	AMPL7158630703	0.00570378458988421	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55592150	55592251	KIT	AMPL7158630708	-0.209272423172591	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55593498	55593600	KIT	AMPL7153001777	0.328473501845827	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55593600	55593725	KIT	AMPL7153001778	-0.0262226919618447	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55594135	55594243	KIT	AMPL7153547213	-0.0467787132097937	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55594243	55594350	KIT	AMPL7153171489	-0.246145512130388	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55599230	55599356	KIT	AMPL7158630710	0.0780888707724926	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55599340	55599456	KIT	AMPL7155741653	0.0260886815701695	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55602600	55602724	KIT	AMPL7158562441	0.365105624836963	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr4	55602664	55602784	KIT	AMPL7158562437	-0.10519894929461	2	0.00570378458988421	2	0.79638505129959	2	0.79638505129959	NA	NA	SegRatio=0.01,AbsMeanSigma=0.15,pvalue=0.48826402398209,pvalueTTest=0.471764429183019,
chr7	55241600	55241688	EGFR	AMPL7154370557	0.192045201042286	2	0.0139939146101711	2	0.63300725672541	2	0.63300725672541	NA	NA	SegRatio=0.01,AbsMeanSigma=0.11,pvalue=0.541053033093352,pvalueTTest=0.630407323722335,
chr7	55241677	55241801	EGFR	AMPL7153032956	0.402773274522241	2	0.0139939146101711	2	0.63300725672541	2	0.63300725672541	NA	NA	SegRatio=0.01,AbsMeanSigma=0.11,pvalue=0.541053033093352,pvalueTTest=0.630407323722335,
chr7	55242411	55242540	EGFR	CHP2_EGFR_5	0.00197465733839184	2	0.0139939146101711	2	0.63300725672541	2	0.63300725672541	NA	NA	SegRatio=0.01,AbsMeanSigma=0.11,pvalue=0.541053033093352,pvalueTTest=0.630407323722335,
chr7	55248956	55249084	EGFR	AMPL7153072051	-0.0550296553017695	2	0.0139939146101711	2	0.63300725672541	2	0.63300725672541	NA	NA	SegRatio=0.01,AbsMeanSigma=0.11,pvalue=0.541053033093352,pvalueTTest=0.630407323722335,
chr7	55249004	55249139	EGFR	AMPL7153033044	-0.047102172061612	2	0.0139939146101711	2	0.63300725672541	2	0.63300725672541	NA	NA	SegRatio=0.01,AbsMeanSigma=0.11,pvalue=0.541053033093352,pvalueTTest=0.630407323722335,
