gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.192139254745445	1	p-value_correction=0.192139254745445
ALK	chr2	29432581	29445319	2	0.305511590113036	1	p-value_correction=0.473952702370688
ERBB4	chr2	212566741	212570115	2	0.305511590113036	1	p-value_correction=0.133962156129657
PIK3CA	chr3	178936019	178952160	2	0.0478446532760818	0.442941766348224	p-value_correction=0.0478446532760818
FGFR3	chr4	1803553	1807934	2	0.0442941766348224	0.442941766348224	p-value_correction=0.324727480227253
PDGFRA	chr4	55141001	55152200	2	0.0442941766348224	0.442941766348224	p-value_correction=0.0268042221540806
KIT	chr4	55589743	55602784	2	0.0442941766348224	0.442941766348224	p-value_correction=0.0682810599027447
EGFR	chr7	55241600	55259578	2	0.149553982268364	1	p-value_correction=0.114327691361896
MET	chr7	116339602	116435917	2	0.149553982268364	1	p-value_correction=0.833871447387379
BRAF	chr7	140453100	140481512	2	0.149553982268364	1	p-value_correction=0.976944641686716
FGFR2	chr10	123247455	123279768	2	0.13342258472423	1	p-value_correction=0.13342258472423
HRAS	chr11	533380	534348	2	0.353113831123475	1	p-value_correction=0.156860989790152
KRAS	chr12	25378549	25398304	2	0.309924332319568	1	p-value_correction=0.309924332319568
MAP2K1	chr15	66727413	66729224	2	0.727593248511588	1	p-value_correction=0.727593248511588
ERBB2	chr17	37880970	37881180	2	0.369028545256844	1	p-value_correction=0.369028545256844
