#name	value
uc021vde.1	NR_034035
uc021vdf.1	NR_034035
uc021vdg.1	NR_034035
uc002qvr.2	NR_034035
uc021vdh.1	NR_034035
uc021vdj.1	NM_054016
uc021vdk.1	NM_001191005
uc031tgi.1	NM_001177376
uc031tgj.1	NM_001177376
uc031tgk.1	NM_001177376
uc031tgl.1	NM_001177376
uc031tgm.1	NM_001177376
uc031tgo.1	NM_001177376
uc031tgp.1	NM_001177376
uc031tgq.1	NM_033178
uc031tgr.1	NM_033178
uc031tgs.1	NM_033178
uc022brn.1	NM_001278056
uc022bro.1	NR_038191
uc011mgh.2	NM_001199232
uc011mgi.2	NM_001005217
uc002qtt.2	NM_012313
uc002qts.2	NM_014219
uc002qty.3	NM_014512
uc002qtv.3	NM_002255
uc010yic.2	NM_001083539
uc002quc.5	NM_001258383
uc010evd.3	NM_001080772
uc002quh.4	NM_001258383
uc002que.4	NM_001080770
uc002quf.4	NM_001258383
uc010eve.3	NM_001080772
uc002qug.4	NM_001080770
uc002qud.4	NM_001258383
uc010evf.3	NM_002255
uc021vdb.1	NM_014513
uc010yie.2	NM_014512
uc010evg.1	NM_001083539
uc010evh.1	NM_001083539
uc002qui.2	NM_001083539
uc002quk.1	NM_001018081
uc002qul.2	NM_012313
uc002qum.3	NM_014512
uc021vdc.1	NM_012312
uc021vdd.1	NM_012312
uc002qun.2	NM_012312
uc010evk.1	NM_012312
uc010evl.1	NM_012312
uc002quo.2	NM_012312
uc011mfn.2	NR_037871
uc003jah.2	NR_037872
uc003jai.3	NR_027420
uc003jaj.2	NR_037871
uc011mfs.2	NR_038958
uc011mfl.2	NM_001257362
uc003bnz.1	NR_033856
uc003boa.3	NR_033856
uc002kgk.4	NR_003682
uc022brb.1	NR_027436
uc011mfq.2	NR_027436
uc011mfz.1	NM_003428
uc011mga.1	NM_001127372
uc011mgb.1	NM_003428
uc011mgc.1	NM_003428
uc031tgg.1	NM_001256279
uc011mgd.2	NM_019591
uc031tgh.1	NM_001256280
uc003woj.2	NM_001242480
uc003wok.2	NM_001242480
uc003wom.3	NM_001242480
uc001vuw.2	NR_027278
uc022brj.1	NR_036235
uc011mfw.2	NR_040004
uc011mfx.2	NR_040005
uc011mfy.2	NM_001124759
uc003izx.3	NR_038377
uc003izy.3	NR_038377
uc003jab.3	NR_046439
uc011clu.3	NR_046440
uc021xvt.2	NR_046441
uc031sii.1	NR_046442
uc003jae.3	NR_046440
uc031rnk.1	NR_049745
uc011cln.2	NM_014058
uc011clp.2	NM_001075
uc011clq.2	NM_001144767
uc011cll.2	NM_001031732
uc011clm.2	NM_133370
uc011clo.2	NM_001076
uc011clr.1	NR_024010
uc011cls.1	NM_024743
uc011clt.1	NM_001075
uc010wwe.1	NM_001113738
uc010wwk.2	NM_016632
uc010wwp.1	NM_016632
uc010wwq.1	NM_001039083
uc010wwr.1	NM_001113738
uc010wws.2	NM_016632
uc010wxc.1	NM_015443
uc010wxd.1	NM_015443
uc010wwx.2	NM_001193465
uc010wxb.2	NM_015443
uc010wxa.2	NM_001193466
uc010wxn.2	NR_024559
uc010wyf.2	NR_026901
uc010wwt.2	NM_016632
uc010wyk.2	NM_001006607
uc010wyl.2	NR_002940
uc031rhd.1	NM_001006607
uc010wyj.1	NM_001006607
uc021ugh.1	NR_033799
uc010wyo.1	NM_006178
uc010wyp.1	NR_033799
uc010wyq.1	NM_006178
uc010wvu.2	NM_199282
uc010wvv.1	NM_199282
uc010wvt.2	NM_199282
uc010wvx.2	NM_174919
uc010wwc.2	NR_027782
uc021uga.1	NR_036199
uc010wwb.1	NR_027774
uc010wvy.2	NM_014798
uc010wvz.2	NR_027774
uc010wwa.2	NR_027782
uc010wwf.1	NM_001006607
uc010wwg.1	NM_001006607
uc031rfa.1	NM_001006607
uc031rfb.1	NM_001006607
uc031rfc.1	NM_001006607
uc031rfd.1	NM_001006607
uc031rfe.1	NM_001006607
uc031rff.1	NM_001006607
uc031rfg.1	NM_001006607
uc031rfh.1	NM_001006607
uc031rfi.1	NM_001006607
uc031rfj.1	NM_001006607
uc031rfk.1	NM_001006607
uc031rfl.1	NM_001006607
uc031rfm.1	NM_001006607
uc031rfn.1	NM_001006607
uc031rfo.1	NM_014834
uc031rfp.1	NM_001006607
uc031rfq.1	NM_014834
uc031rfr.1	NM_001006607
uc031rfs.1	NM_199340
uc010wwm.2	NM_006178
uc010wwo.2	NR_040116
uc010www.2	NM_001006607
uc010wwu.1	NM_001006607
uc031rft.1	NM_001006607
uc010wwv.1	NM_014834
uc031rfu.1	NM_014834
uc031rfv.1	NM_014834
uc031rfw.1	NM_014834
uc031rfx.1	NM_014834
uc031rfy.1	NM_014834
uc031rfz.1	NM_001006607
uc031rga.1	NM_014834
uc031rgb.1	NM_014834
uc031rgc.1	NM_001006607
