# Last modified: 23-03-2017@22:10:04
# LRG	HGNC_SYMBOL	REFSEQ_GENOMIC	LRG_TRANSCRIPT	REFSEQ_TRANSCRIPT	ENSEMBL_TRANSCRIPT	CCDS
LRG_1	COL1A1	NG_007400.1	t1	NM_000088.3	-	CCDS11561.1
LRG_2	COL1A2	NG_007405.1	t1	NM_000089.3	ENST00000297268.10	CCDS34682.1
LRG_3	COL3A1	NG_007404.1	t1	NM_000090.3	-	CCDS2297.1
LRG_4	CRTAP	NG_008122.1	t1	NM_006371.4	-	CCDS2657.1
LRG_5	P3H1	NG_008123.1	t1	NM_022356.3	-	CCDS472.2
LRG_5	P3H1	NG_008123.1	t2	NM_001146289.1	ENST00000397054.7	CCDS53307.1
LRG_5	P3H1	NG_008123.1	t3	NM_001243246.1	-	CCDS57986.1
LRG_6	ATP1A2	NG_008014.1	t1	NM_000702.2	-	CCDS1196.1
LRG_7	CACNA1A	NG_011569.1	t1	NM_001127221.1	-	CCDS45999.1
LRG_8	SCN1A	NG_011906.1	t1	NM_006920.4	-	CCDS33316.1
LRG_9	SDHD	NG_012337.3	t1	NM_003002.3	-	CCDS31678.1
LRG_10	PPIB	NG_012979.1	t1	NM_000942.4	-	CCDS10191.1
LRG_11	CDKN2A	NG_007485.1	t1	NM_000077.4	-	CCDS6510.1
LRG_11	CDKN2A	NG_007485.1	t2	NM_058195.3	-	CCDS6511.2
LRG_12	FKBP10	NG_015860.1	t1	NM_021939.3	-	CCDS11409.1
LRG_13	CALCA	NG_015960.1	t1	NM_001033953.2	ENST00000361010.7	CCDS31432.1
LRG_13	CALCA	NG_015960.1	t2	NM_001033952.2	-	CCDS7819.1
LRG_14	L1CAM	NG_009645.3	t1	NM_000425.4	-	CCDS14733.1
LRG_15	UBE3A	NG_009268.1	t1	NM_130838.1	-	CCDS32177.1
LRG_16	ADA	NG_007385.1	t1	NM_000022.2	-	CCDS13335.1
LRG_17	AICDA	NG_011588.1	t1	NM_020661.2	-	CCDS41747.1
LRG_18	AIRE	NG_009556.1	t1	NM_000383.2	ENST00000291582.5	CCDS13706.1
LRG_19	XIAP	NG_007264.1	t1	NM_001167.3	-	CCDS14606.1
LRG_20	BLM	NG_007272.1	t1	NM_000057.2	-	CCDS10363.1
LRG_21	BLNK	NG_007575.1	t1	NM_013314.3	-	CCDS7446.1
LRG_22	C1QA	NG_007282.1	t1	NM_015991.2	-	CCDS226.1
LRG_23	C1QB	NG_007283.1	t1	NM_000491.3	ENST00000314933.6	CCDS228.1
LRG_24	C1QC	NG_007565.1	t1	NM_001114101.1	-	CCDS227.1
LRG_24	C1QC	NG_007565.1	t2	NM_172369.2	-	CCDS227.1
LRG_25	C1S	NG_011694.1	t1	NM_001734.3	-	CCDS31735.1
LRG_26	C2	NG_011730.1	t1	NM_000063.4	-	CCDS4728.1
LRG_27	C3	NG_009557.1	t1	NM_000064.2	-	CCDS32883.1
LRG_28	C5	NG_007364.1	t1	NM_001735.2	ENST00000223642.2	CCDS6826.1
LRG_29	C6	NG_011582.1	t1	NM_000065.2	-	CCDS3936.1
LRG_30	C7	NG_011692.1	t1	NM_000587.2	-	CCDS47201.1
LRG_31	C8B	NG_007285.1	t1	NM_000066.2	ENST00000371237.8	CCDS30730.1
LRG_32	C9	NG_009894.1	t1	NM_001737.3	-	CCDS3929.1
LRG_33	CASP10	NG_007265.1	t1	NM_032977.3	-	CCDS2340.1
LRG_34	CASP8	NG_007497.1	t1	NM_001228.4	-	CCDS42799.1
LRG_34	CASP8	NG_007497.1	t2	NM_033355.3	-	CCDS2342.1
LRG_35	CD19	NG_007275.1	t1	NM_001770.5	-	CCDS10644.1
LRG_36	CD247	NG_007384.1	t1	NM_198053.2	-	CCDS1261.1
LRG_37	CD3D	NG_009891.1	t1	NM_000732.4	-	CCDS8394.1
LRG_38	CD3E	NG_007383.1	t1	NM_000733.3	-	CCDS31685.1
LRG_39	CD3G	NG_007566.1	t1	NM_000073.2	-	CCDS8395.1
LRG_40	CD40	NG_007279.1	t1	NM_001250.4	-	CCDS13393.1
LRG_41	CD59	NG_008057.1	t1	NM_203330.2	-	CCDS7886.1
LRG_42	CD79A	NG_009619.1	t1	NM_001783.3	ENST00000221972.7	CCDS12589.1
LRG_43	CD79B	NG_007368.1	t1	NM_001039933.1	-	CCDS42372.1
LRG_44	CD8A	NG_011608.2	t1	NM_001768.6	-	CCDS1992.1
LRG_45	CEBPE	NG_009617.1	t1	NM_001805.2	-	CCDS9589.1
LRG_46	CFD	NG_007274.1	t1	NM_001928.2	-	CCDS12046.1
LRG_47	CFH	NG_007259.1	t1	NM_000186.3	ENST00000367429.8	CCDS1385.1
LRG_48	CFI	NG_007569.1	t1	NM_000204.3	-	CCDS34049.1
LRG_49	CIITA	NG_009628.1	t1	NM_000246.3	-	CCDS10544.1
LRG_50	CTSC	NG_007952.1	t1	NM_001814.4	-	CCDS8282.1
LRG_51	CXCR4	NG_011587.1	t1	NM_003467.2	-	CCDS46420.1
LRG_52	CYBA	NG_007291.1	t1	NM_000101.2	-	CCDS32504.1
LRG_53	CYBB	NG_009065.1	t1	NM_000397.3	-	CCDS14242.1
LRG_54	DCLRE1C	NG_007276.1	t1	NM_001033855.1	-	CCDS31149.1
LRG_55	DKC1	NG_009780.1	t1	NM_001363.3	-	CCDS14761.1
LRG_56	DNMT3B	NG_007290.1	t1	NM_006892.3	ENST00000328111.6	CCDS13205.1
LRG_57	ELANE	NG_009627.1	t1	NM_001972.2	-	CCDS12045.1
LRG_58	FASLG	NG_007269.1	t1	NM_000639.1	-	CCDS1304.1
LRG_59	FCGR1A	NG_007578.1	t1	NM_000566.3	-	CCDS933.1
LRG_60	FCGR3A	NG_009066.1	t1	NM_001127593.1	-	CCDS44266.1
LRG_61	FOXN1	NG_007260.1	t1	NM_003593.2	-	CCDS11232.1
LRG_62	FOXP3	NG_007392.1	t1	NM_014009.3	ENST00000376207.8	CCDS14323.1
LRG_63	GFI1	NG_007874.1	t1	NM_005263.3	-	CCDS30773.1
LRG_64	HAX1	NG_007369.1	t1	NM_006118.3	-	CCDS1064.1
LRG_65	ICOS	NG_011586.1	t1	NM_012092.3	ENST00000316386.10	CCDS2363.1
LRG_66	IFNGR1	NG_007394.1	t1	NM_000416.2	-	CCDS5185.1
LRG_67	IFNGR2	NG_007570.2	t1	NM_005534.3	ENST00000290219.10	CCDS33544.1
LRG_68	IGFBP3	NG_011508.1	t1	NM_001013398.1	-	CCDS34632.1
LRG_69	IGLL1	NG_009791.1	t1	NM_020070.2	ENST00000330377.2	CCDS13809.1
LRG_70	IKBKG	NG_009896.1	t1	NM_003639.3	-	CCDS14757.1
LRG_71	IL12B	NG_009618.1	t1	NM_002187.2	-	CCDS4346.1
LRG_72	IL12RB1	NG_007366.2	t1	NM_005535.1	-	CCDS54232.1
LRG_73	IL2RA	NG_007403.1	t1	NM_000417.2	-	CCDS7076.1
LRG_74	IL7R	NG_009567.1	t1	NM_002185.2	-	CCDS3911.1
LRG_75	IRAK4	NG_009892.1	t1	NM_016123.3	-	CCDS8744.1
LRG_76	ITGB2	NG_007270.2	t1	NM_000211.3	-	CCDS13716.1
LRG_77	JAK3	NG_007273.1	t1	NM_000215.3	-	CCDS12366.1
LRG_78	LIG1	NG_007395.1	t1	NM_000234.1	-	CCDS12711.1
LRG_79	LIG4	NG_007396.1	t1	NM_002312.3	-	CCDS9508.1
LRG_80	LRRC8A	NG_009630.1	t1	NM_019594.3	-	CCDS35155.1
LRG_81	LAMTOR2	NG_009898.1	t1	NM_014017.3	-	CCDS1128.1
LRG_82	MASP2	NG_007289.2	t1	NM_006610.3	-	CCDS123.1
LRG_82	MASP2	NG_007289.2	t2	NM_139208.2	-	CCDS124.1
LRG_83	MLPH	NG_007286.1	t1	NM_024101.5	-	CCDS2518.1
LRG_84	MPO	NG_009629.1	t1	NM_000250.1	ENST00000225275.3	CCDS11604.1
LRG_85	MRE11	NG_007261.1	t1	NM_005591.3	-	CCDS8299.1
LRG_86	MYO5A	NG_009887.1	t1	NM_000259.3	-	CCDS42037.1
LRG_87	NCF1	NG_009078.2	t1	NM_000265.5	-	CCDS34657.1
LRG_88	NCF2	NG_007267.1	t1	NM_000433.3	-	CCDS1356.1
LRG_89	NFKBIA	NG_007571.1	t1	NM_020529.2	-	CCDS9656.1
LRG_90	NHEJ1	NG_007880.1	t1	NM_024782.2	-	CCDS2432.1
LRG_91	PNP	NG_009631.1	t1	NM_000270.3	-	CCDS9552.1
LRG_92	NRAS	NG_007572.1	t1	NM_002524.3	-	CCDS877.1
LRG_93	ORAI1	NG_007500.1	t1	NM_032790.3	-	-
LRG_94	PRF1	NG_009615.1	t1	NM_001083116.1	-	CCDS7305.1
LRG_95	PTPRC	NG_007730.1	t1	NM_002838.4	-	CCDS1397.2
LRG_96	RAB27A	NG_009103.1	t1	NM_183235.1	-	CCDS10153.1
LRG_97	RAC2	NG_007288.1	t1	NM_002872.3	-	CCDS13945.1
LRG_98	RAG1	NG_007528.1	t1	NM_000448.2	-	CCDS7902.1
LRG_99	RAG2	NG_007573.1	t1	NM_000536.2	-	CCDS7903.1
LRG_100	RASGRP2	NG_007574.1	t1	NM_153819.1	ENST00000354024.7	CCDS31598.1
LRG_101	RFX5	NG_007576.1	t1	NM_000449.3	-	CCDS994.1
LRG_102	RFXANK	NG_007432.1	t1	NM_003721.2	-	CCDS12395.1
LRG_103	RFXAP	NG_007876.1	t1	NM_000538.3	-	CCDS9359.1
LRG_104	SBDS	NG_007277.1	t1	NM_016038.2	-	CCDS5537.1
LRG_105	SERPING1	NG_009625.1	t1	NM_000062.2	-	CCDS7962.1
LRG_106	SH2D1A	NG_007464.1	t1	NM_002351.4	-	CCDS14608.1
LRG_107	SLC35C1	NG_009875.1	t1	NM_018389.4	-	CCDS7914.1
LRG_108	SMARCAL1	NG_009771.1	t1	NM_014140.3	ENST00000357276.8	CCDS2403.1
LRG_109	SP110	NG_008295.1	t1	NM_080424.2	-	CCDS2475.1
LRG_110	SPINK5	NG_009633.1	t1	NM_006846.3	-	CCDS43382.1
LRG_111	STAT1	NG_008294.1	t1	NM_007315.3	-	CCDS2309.1
LRG_112	STAT3	NG_007370.1	t1	NM_139276.2	-	CCDS32656.1
LRG_113	STX11	NG_007613.1	t1	NM_003764.3	-	CCDS5205.1
LRG_114	TAPBP	NG_009876.1	t1	NM_003190.4	ENST00000434618.6	CCDS34426.1
