gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	1.5	0.00650623551128748	0.0585561196015873	p-value_correction=0.326628165264002
ALK	chr2	29432581	29445319	2	0.289061291483066	1	p-value_correction=0.343861124406006
ERBB4	chr2	212566741	212570115	2	0.289061291483066	1	p-value_correction=0.544115279789892
PIK3CA	chr3	178936019	178952160	2	0.909846839985315	1	p-value_correction=0.909846839985315
FGFR3	chr4	1803553	1807934	2.5	1.42998924918581e-05	0.000142998924918581	p-value_correction=0.0600676053635143
PDGFRA	chr4	55141001	55152200	2.5	1.42998924918581e-05	0.000142998924918581	possible.CN=1.5, p-value_correction=0.428426662196749
KIT	chr4	55589743	55602784	2.5	1.42998924918581e-05	0.000142998924918581	p-value_correction=0.239221320800262
EGFR	chr7	55241600	55259578	2	0.757138958846981	1	p-value_correction=0.0654038147636056
MET	chr7	116339602	116435917	2	0.757138958846981	1	p-value_correction=0.104529615322602
BRAF	chr7	140453100	140481512	2	0.757138958846981	1	p-value_correction=0.0877190633036979
FGFR2	chr10	123247455	123279768	2	0.202897179120201	1	p-value_correction=0.202897179120201
HRAS	chr11	533380	534348	2	0.884440556855686	1	p-value_correction=0.822911057294439
KRAS	chr12	25378549	25398304	2	0.304967683146655	1	p-value_correction=0.304967683146655
MAP2K1	chr15	66727413	66729224	2	0.685726586476921	1	p-value_correction=0.430602637551754
ERBB2	chr17	37880970	37881180	2	0.481541571256042	1	p-value_correction=0.481541571256042
