gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.203306130596544	1	p-value_correction=0.203306130596544
ALK	chr2	29432581	29445319	2	0.0431522431322232	0.388370188190009	p-value_correction=0.0145934878604399
ERBB4	chr2	212566741	212570115	2	0.0431522431322232	0.388370188190009	p-value_correction=0.0268815756214376
PIK3CA	chr3	178936019	178952160	2	0.332570898933227	1	p-value_correction=0.332570898933227
FGFR3	chr4	1803553	1807934	1.5	1.92568393884859e-07	2.11825233273345e-06	p-value_correction=0.0536555937111846
PDGFRA	chr4	55141001	55152200	1.5	1.92568393884859e-07	2.11825233273345e-06	p-value_correction=0.000601233069498222
KIT	chr4	55589743	55602784	1.5	1.92568393884859e-07	2.11825233273345e-06	p-value_correction=0.416253698524797
EGFR	chr7	55241600	55259578	2	0.0126583717338369	0.126583717338369	p-value_correction=0.0126583717338369
MET	chr7	116339602	116435917	2	0.974592082450307	1	p-value_correction=0.962157882107991
BRAF	chr7	140453100	140481512	2	0.974592082450307	1	p-value_correction=0.964531246781623
FGFR2	chr10	123247455	123279768	2	0.0922493266783055	0.645745286748138	p-value_correction=0.0922493266783055
HRAS	chr11	533380	534348	2	0.772484396530552	1	p-value_correction=0.763040174008026
KRAS	chr12	25378549	25398304	2	0.172026979767788	1	p-value_correction=0.172026979767788
MAP2K1	chr15	66727413	66729224	2	0.079295401033906	0.634363208271248	p-value_correction=0.079295401033906
ERBB2	chr17	37880970	37881180	2	0.511928491012421	1	p-value_correction=0.511928491012421
