gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.539293681440115	1	p-value_correction=0.539293681440115
ALK	chr2	29432581	29445319	2	0.715078241190633	1	p-value_correction=0.894528959287155
ERBB4	chr2	212566741	212570115	2	0.715078241190633	1	p-value_correction=0.086856217662519
PIK3CA	chr3	178936019	178952160	2	0.939898684734625	1	p-value_correction=0.936602928424968
FGFR3	chr4	1803553	1807934	2.5	0.00447117704796861	0.0447117704796861	p-value_correction=0.109972240906779
PDGFRA	chr4	55141001	55152200	2.5	0.00447117704796861	0.0447117704796861	p-value_correction=0.414985152168479
KIT	chr4	55589743	55602784	2.5	0.00447117704796861	0.0447117704796861	p-value_correction=0.440502712323719
EGFR	chr7	55241600	55259578	2	0.116933337449787	1	p-value_correction=0.0988600749803544
MET	chr7	116339602	116435917	2	0.116933337449787	1	p-value_correction=0.478293159169868
BRAF	chr7	140453100	140481512	2	0.116933337449787	1	p-value_correction=0.248020722817577
FGFR2	chr10	123247455	123279768	2	0.77463038165174	1	p-value_correction=0.77463038165174
HRAS	chr11	533380	534348	2	0.204477063507466	1	p-value_correction=0.140802087762376
KRAS	chr12	25378549	25398304	2	0.883457630096574	1	p-value_correction=0.751232300019927
MAP2K1	chr15	66727413	66729224	2	0.658663885656019	1	p-value_correction=0.386419619058532
ERBB2	chr17	37880970	37881180	2	0.561472982028534	1	p-value_correction=0.561472982028534
