gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.0440535851865102	0.440535851865102	p-value_correction=0.0440535851865102
ALK	chr2	29432581	29445319	2	0.560638261427765	1	p-value_correction=0.559321551535568
ERBB4	chr2	212566741	212570115	2	0.556173039057422	1	p-value_correction=0.100024610587823
PIK3CA	chr3	178936019	178952160	2	0.938751770376412	1	p-value_correction=0.901709747822158
FGFR3	chr4	1803553	1807934	2	0.133812094084232	1	p-value_correction=0.830391923603019
PDGFRA	chr4	55141001	55152200	2	0.133812094084232	1	p-value_correction=0.00919751278232006
KIT	chr4	55589743	55602784	2	0.133812094084232	1	p-value_correction=0.703518667375816
EGFR	chr7	55241600	55259578	2	0.905746144128359	1	p-value_correction=0.616809656907176
MET	chr7	116339602	116435917	2	0.905746144128359	1	p-value_correction=0.799943667173903
BRAF	chr7	140453100	140481512	2	0.905746144128359	1	p-value_correction=0.133075020321546
FGFR2	chr10	123247455	123279768	2	0.788135791563409	1	p-value_correction=0.76944446710283
HRAS	chr11	533380	534348	2.5	0.00956470959289719	0.105211805521869	p-value_correction=0.495414349387518
KRAS	chr12	25378549	25398304	2	0.370393931539672	1	p-value_correction=0.127784929101677
MAP2K1	chr15	66727413	66729224	2	0.580789563612744	1	p-value_correction=0.243652490523071
ERBB2	chr17	37880970	37881180	2	0.817287848635596	1	p-value_correction=0.817287848635596
