gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.691471768177552	1	p-value_correction=0.691471768177552
ALK	chr2	29432581	29445319	2	0.207917509245899	1	p-value_correction=0.347505484521392
ERBB4	chr2	212566741	212570115	2	0.207917509245899	1	p-value_correction=0.0945208502615681
PIK3CA	chr3	178936019	178952160	2	0.955693478821655	1	p-value_correction=0.813914341396896
FGFR3	chr4	1803553	1807934	2	0.642452185123335	1	p-value_correction=0.77498433858325
PDGFRA	chr4	55141001	55152200	2	0.642452185123335	1	p-value_correction=0.488452868662479
KIT	chr4	55589743	55602784	2	0.642452185123335	1	p-value_correction=0.09130831621315
EGFR	chr7	55241600	55259578	2.5	9.7072626718509e-05	0.00097072626718509	p-value_correction=0.00395903865226697
MET	chr7	116339602	116435917	2.5	9.7072626718509e-05	0.00097072626718509	p-value_correction=0.296900753678319
BRAF	chr7	140453100	140481512	2.5	9.7072626718509e-05	0.00097072626718509	p-value_correction=0.328499584598774
FGFR2	chr10	123247455	123279768	2	0.0297553897141252	0.267798507427127	p-value_correction=0.0297553897141252
HRAS	chr11	533380	534348	2	0.113292385211453	0.906339081691624	p-value_correction=0.113292385211453
KRAS	chr12	25378549	25398304	2	0.304422707218442	1	p-value_correction=0.304422707218442
MAP2K1	chr15	66727413	66729224	2	0.948768102935507	1	p-value_correction=0.869747197265154
ERBB2	chr17	37880970	37881180	2	0.216588121907667	1	p-value_correction=0.216588121907667
