chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.0250535634047097	2	0.0787168332477961	2	0.320622031450472	2	0.320622031450472	NA	NA	SegRatio=0.08,AbsMeanSigma=0.62,pvalue=0.286531801874051,pvalueTTest=0.320622031450472,
chr1	115256462	115256578	NRAS	AMPL7153071870	0.194990288661977	2	0.0787168332477961	2	0.320622031450472	2	0.320622031450472	NA	NA	SegRatio=0.08,AbsMeanSigma=0.62,pvalue=0.286531801874051,pvalueTTest=0.320622031450472,
chr1	115258698	115258821	NRAS	AMPL7153669586	0.0787168332477961	2	0.0787168332477961	2	0.320622031450472	2	0.320622031450472	NA	NA	SegRatio=0.08,AbsMeanSigma=0.62,pvalue=0.286531801874051,pvalueTTest=0.320622031450472,
chr2	29432581	29432710	ALK	AMPL7153129486	0.165475202005992	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	29432651	29432782	ALK	AMPL7158540212	-0.189456687591662	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.205837180999022	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	29436860	29436982	ALK	AMPL7153049880	-0.0209225961385368	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	29443563	29443694	ALK	AMPL7153154662	-0.0642731097785339	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.461826251218792	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	q-value=7.42409061834323e-07, copies=1.5	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	29445095	29445222	ALK	AMPL7156051274	-0.215784349858746	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	29445209	29445319	ALK	AMPL7153153034	-0.141214074657048	2	-0.0642731097785339	2	0.102843519136104	2	0.102843519136104	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	212566741	212566867	ERBB4	AMPL7158742374	0.0507568205208226	2	-0.0642731097785339	2	0.525657040897372	2	0.525657040897372	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.0642731097785339	2	0.525657040897372	2	0.525657040897372	NA	NA	SegRatio=-0.06,AbsMeanSigma=1.29,pvalue=4.39218337058985e-05,pvalueTTest=0.127531625669357,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	0.0429905109370585	2	0.0429905109370585	2	0.178594335215413	2	0.178594335215413	NA	NA	SegRatio=0.04,AbsMeanSigma=0.32,pvalue=0.580411705784632,pvalueTTest=0.178594335215413,
chr3	178951936	178952058	PIK3CA	AMPL7153120664	0.0390761711126224	2	0.0429905109370585	2	0.178594335215413	2	0.178594335215413	NA	NA	SegRatio=0.04,AbsMeanSigma=0.32,pvalue=0.580411705784632,pvalueTTest=0.178594335215413,
chr3	178952058	178952160	PIK3CA	AMPL7153011260	0.00856746398412136	2	0.0429905109370585	2	0.178594335215413	2	0.178594335215413	NA	NA	SegRatio=0.04,AbsMeanSigma=0.32,pvalue=0.580411705784632,pvalueTTest=0.178594335215413,
chr4	1803553	1803683	FGFR3	AMPL7153129889	-0.0193095516773348	2	0.00619686684964508	2	0.291111308570106	2	0.291111308570106	NA	NA	SegRatio=0.01,AbsMeanSigma=0.07,pvalue=0.7366192081941,pvalueTTest=0.673481314032796,
