gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.320622031450472	1	p-value_correction=0.320622031450472
ALK	chr2	29432581	29445319	2	0.127531625669357	1	p-value_correction=0.102843519136104
ERBB4	chr2	212566741	212570115	2	0.127531625669357	1	p-value_correction=0.525657040897372
PIK3CA	chr3	178936019	178952160	2	0.580411705784632	1	p-value_correction=0.178594335215413
FGFR3	chr4	1803553	1807934	2	0.7366192081941	1	p-value_correction=0.291111308570106
PDGFRA	chr4	55141001	55152200	2	0.7366192081941	1	p-value_correction=0.33276790908692
KIT	chr4	55589743	55602784	2	0.7366192081941	1	p-value_correction=0.00949586816612063
EGFR	chr7	55241600	55259578	2	0.172378029196448	1	p-value_correction=0.0595537296272401
MET	chr7	116339602	116435917	2	0.172378029196448	1	p-value_correction=0.0906772262519128
BRAF	chr7	140453100	140481512	2	0.172378029196448	1	p-value_correction=0.546146604226673
FGFR2	chr10	123247455	123279768	2	0.481815815859422	1	p-value_correction=0.481815815859422
HRAS	chr11	533380	534348	2	0.102604991369663	1	p-value_correction=0.102604991369663
KRAS	chr12	25378549	25398304	2	0.632861398293863	1	p-value_correction=0.632861398293863
MAP2K1	chr15	66727413	66729224	2	0.330238865294668	1	p-value_correction=0.330238865294668
ERBB2	chr17	37880970	37881180	2	0.257914551368121	1	p-value_correction=0.257914551368121
