gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.558058212469052	1	p-value_correction=0.558058212469052
ALK	chr2	29432581	29445319	2	0.00620644763718037	0.0620644763718037	p-value_correction=0.013226495050382
ERBB4	chr2	212566741	212570115	2	0.00620644763718037	0.0620644763718037	p-value_correction=0.0361404082162369
PIK3CA	chr3	178936019	178952160	2	0.357048940893968	1	p-value_correction=0.357048940893968
FGFR3	chr4	1803553	1807934	2	0.769335155469218	1	p-value_correction=0.146229834632377
PDGFRA	chr4	55141001	55152200	2	0.769335155469218	1	p-value_correction=0.195837873659431
KIT	chr4	55589743	55602784	2	0.769335155469218	1	p-value_correction=0.890710890845592
EGFR	chr7	55241600	55259578	2	0.428045036917588	1	p-value_correction=0.0194168846754608
MET	chr7	116339602	116435917	2	0.428045036917588	1	p-value_correction=0.407572611978014
BRAF	chr7	140453100	140481512	2	0.428045036917588	1	p-value_correction=0.140521254145058
FGFR2	chr10	123247455	123279768	2	0.588133746813916	1	p-value_correction=0.588133746813916
HRAS	chr11	533380	534348	2	0.198998655695896	1	p-value_correction=0.198998655695896
KRAS	chr12	25378549	25398304	2	0.418728984859872	1	p-value_correction=0.225599613360718
MAP2K1	chr15	66727413	66729224	2	0.69410248305366	1	p-value_correction=0.519750948364667
ERBB2	chr17	37880970	37881180	2	0.521748646939835	1	p-value_correction=0.521748646939835
