gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.315628875381368	1	p-value_correction=0.125930168773086
ALK	chr2	29432581	29445319	2	0.290712030519295	1	p-value_correction=0.484932103151495
ERBB4	chr2	212566741	212570115	2	0.290712030519295	1	p-value_correction=0.152992206623933
PIK3CA	chr3	178936019	178952160	2	0.363337029516848	1	p-value_correction=0.144308439743915
FGFR3	chr4	1803553	1807934	2	0.477961875409602	1	p-value_correction=0.35867090406016
PDGFRA	chr4	55141001	55152200	2	0.477961875409602	1	p-value_correction=0.749122234574067
KIT	chr4	55589743	55602784	2	0.477961875409602	1	p-value_correction=0.00314358003795831
EGFR	chr7	55241600	55259578	2	0.931990342547872	1	p-value_correction=0.19016286829656
MET	chr7	116339602	116435917	2	0.931990342547872	1	p-value_correction=0.0942497485220355
BRAF	chr7	140453100	140481512	2	0.931990342547872	1	p-value_correction=0.758750004139444
FGFR2	chr10	123247455	123279768	2	0.183771487804427	1	p-value_correction=0.183771487804427
HRAS	chr11	533380	534348	2	0.448924536428153	1	p-value_correction=0.448924536428153
KRAS	chr12	25378549	25398304	2	0.277042002459571	1	p-value_correction=0.277042002459571
MAP2K1	chr15	66727413	66729224	2	0.384854606059658	1	p-value_correction=0.384854606059658
ERBB2	chr17	37880970	37881180	2	0.340549769962082	1	p-value_correction=0.340549769962082
